uni_0,uni_1,value
EUAS_ISTANBUL_A2_NG,Q4,0.7
EUAS_ISTANBUL_A3_NG,Q1,0.7
EUAS_ISTANBUL_A3_NG,Q2,0.6
EUAS_ISTANBUL_A3_NG,Q3,0.7
EUAS_ISTANBUL_A3_NG,Q4,0.7
EUAS_ISTANBUL_B1_NG,Q1,0.7
EUAS_ISTANBUL_B1_NG,Q2,0.6
EUAS_ISTANBUL_B1_NG,Q3,0.7
EUAS_ISTANBUL_B1_NG,Q4,0.7
EUAS_ISTANBUL_B2_NG,Q1,0.7
EUAS_ISTANBUL_B2_NG,Q2,0.6
EUAS_ISTANBUL_B2_NG,Q3,0.7
EUAS_ISTANBUL_B2_NG,Q4,0.7
IZMIR_1_NG,Q1,0.7
IZMIR_1_NG,Q2,0.6
IZMIR_1_NG,Q3,0.7
IZMIR_1_NG,Q4,0.7
IZMIR_2_NG,Q1,0.7
IZMIR_2_NG,Q2,0.6
IZMIR_2_NG,Q3,0.7
IZMIR_2_NG,Q4,0.7
MARMARA_PAMUKLU_NG,Q1,0.7
MARMARA_PAMUKLU_NG,Q2,0.6
MARMARA_PAMUKLU_NG,Q3,0.7
MARMARA_PAMUKLU_NG,Q4,0.7
BIS_NG,Q1,0.7
BIS_NG,Q2,0.6
BIS_NG,Q3,0.7
BIS_NG,Q4,0.7
PETKIM_NG,Q1,0.7
PETKIM_NG,Q2,0.6
PETKIM_NG,Q3,0.7
PETKIM_NG,Q4,0.7
BILGIN_1_NG,Q1,0.7
BILGIN_1_NG,Q2,0.6
BILGIN_1_NG,Q3,0.7
BILGIN_1_NG,Q4,0.7
BILGIN_2_NG,Q1,0.7
BILGIN_2_NG,Q2,0.6
BILGIN_2_NG,Q3,0.7
BILGIN_2_NG,Q4,0.7
TAHA_NG,Q1,0.7
TAHA_NG,Q2,0.6
TAHA_NG,Q3,0.7
TAHA_NG,Q4,0.7
TUPRAS_IZMIT_NG,Q1,0.7
TUPRAS_IZMIT_NG,Q2,0.6
TUPRAS_IZMIT_NG,Q3,0.7
TUPRAS_IZMIT_NG,Q4,0.7
EUAS_TEKIRDAG_A_NG,Q1,0.7
EUAS_TEKIRDAG_A_NG,Q2,0.6
EUAS_TEKIRDAG_A_NG,Q3,0.7
EUAS_TEKIRDAG_A_NG,Q4,0.7
EUAS_TEKIRDAG_B_NG,Q1,0.7
EUAS_TEKIRDAG_B_NG,Q2,0.6
EUAS_TEKIRDAG_B_NG,Q3,0.7
EUAS_TEKIRDAG_B_NG,Q4,0.7
KAZAN_NG,Q1,0.7
KAZAN_NG,Q2,0.6
KAZAN_NG,Q3,0.7
KAZAN_NG,Q4,0.7
KIRIKKALE_NG,Q1,0.7
KIRIKKALE_NG,Q2,0.6
KIRIKKALE_NG,Q3,0.7
KIRIKKALE_NG,Q4,0.7
YENI_NG,Q1,0.7
YENI_NG,Q2,0.6
YENI_NG,Q3,0.7
YENI_NG,Q4,0.7
WestAna_AGG_NG,Q1,0.7
WestAna_AGG_NG,Q2,0.6
WestAna_AGG_NG,Q3,0.7
WestAna_AGG_NG,Q4,0.7
WestMed_AGG_NG,Q1,0.7
WestMed_AGG_NG,Q2,0.6
WestMed_AGG_NG,Q3,0.7
WestMed_AGG_NG,Q4,0.7
EastMed_AGG_NG,Q1,0.7
EastMed_AGG_NG,Q2,0.6
EastMed_AGG_NG,Q3,0.7
EastMed_AGG_NG,Q4,0.7
EastAna_AGG_NG,Q1,0.7
EastAna_AGG_NG,Q2,0.6
EastAna_AGG_NG,Q3,0.7
EastAna_AGG_NG,Q4,0.7
SouthEast_AGG_NG,Q1,0.7
SouthEast_AGG_NG,Q2,0.6
SouthEast_AGG_NG,Q3,0.7
SouthEast_AGG_NG,Q4,0.7
NorthWest_AGG_NG,Q1,0.7
NorthWest_AGG_NG,Q2,0.6
NorthWest_AGG_NG,Q3,0.7
NorthWest_AGG_NG,Q4,0.7
CenterAna_AGG_NG,Q1,0.7
CenterAna_AGG_NG,Q2,0.6
CenterAna_AGG_NG,Q3,0.7
CenterAna_AGG_NG,Q4,0.7
CenterBlack_AGG_NG,Q1,0.7
CenterBlack_AGG_NG,Q2,0.6
CenterBlack_AGG_NG,Q3,0.7
CenterBlack_AGG_NG,Q4,0.7
Trakia_AGG_NG,Q1,0.7
Trakia_AGG_NG,Q2,0.6
Trakia_AGG_NG,Q3,0.7
Trakia_AGG_NG,Q4,0.7
EUAS_ISTANBUL_New_NG,Q1,0.7
EUAS_ISTANBUL_New_NG,Q2,0.6
EUAS_ISTANBUL_New_NG,Q3,0.7
EUAS_ISTANBUL_New_NG,Q4,0.7
VERBENA_NG,Q1,0.7
VERBENA_NG,Q2,0.6
VERBENA_NG,Q3,0.7
VERBENA_NG,Q4,0.7
Generic_Gas_CCGT_WestMed,Q1,0.7
Generic_Gas_CCGT_WestMed,Q2,0.6
Generic_Gas_CCGT_WestMed,Q3,0.7
Generic_Gas_CCGT_WestMed,Q4,0.7
Generic_Gas_CCGT_WestAna,Q1,0.7
Generic_Gas_CCGT_WestAna,Q2,0.6
Generic_Gas_CCGT_WestAna,Q3,0.7
Generic_Gas_CCGT_WestAna,Q4,0.7
Generic_Gas_CCGT_EastMed,Q1,0.7
Generic_Gas_CCGT_EastMed,Q2,0.6
Generic_Gas_CCGT_EastMed,Q3,0.7
Generic_Gas_CCGT_EastMed,Q4,0.7
Generic_Gas_CCGT_EastAna,Q1,0.7
Generic_Gas_CCGT_EastAna,Q2,0.6
Generic_Gas_CCGT_EastAna,Q3,0.7
Generic_Gas_CCGT_EastAna,Q4,0.7
Generic_Gas_CCGT_SouthEast,Q1,0.7
Generic_Gas_CCGT_SouthEast,Q2,0.6
Generic_Gas_CCGT_SouthEast,Q3,0.7
Generic_Gas_CCGT_SouthEast,Q4,0.7
Generic_Gas_CCGT_NorthWest,Q1,0.7
Generic_Gas_CCGT_NorthWest,Q2,0.6
Generic_Gas_CCGT_NorthWest,Q3,0.7
Generic_Gas_CCGT_NorthWest,Q4,0.7
Generic_Gas_CCGT_CenterAna,Q1,0.7
Generic_Gas_CCGT_CenterAna,Q2,0.6
Generic_Gas_CCGT_CenterAna,Q3,0.7
Generic_Gas_CCGT_CenterAna,Q4,0.7
Generic_Gas_CCGT_CenterBlack,Q1,0.7
Generic_Gas_CCGT_CenterBlack,Q2,0.6
Generic_Gas_CCGT_CenterBlack,Q3,0.7
Generic_Gas_CCGT_CenterBlack,Q4,0.7
Generic_Gas_CCGT_Trakia,Q1,0.7
Generic_Gas_CCGT_Trakia,Q2,0.6
Generic_Gas_CCGT_Trakia,Q3,0.7
Generic_Gas_CCGT_Trakia,Q4,0.7
Generic_Gas_OCGT_WestMed,Q1,0.7
Generic_Gas_OCGT_WestMed,Q2,0.6
Generic_Gas_OCGT_WestMed,Q3,0.7
Generic_Gas_OCGT_WestMed,Q4,0.7
Generic_Gas_OCGT_WestAna,Q1,0.7
Generic_Gas_OCGT_WestAna,Q2,0.6
Generic_Gas_OCGT_WestAna,Q3,0.7
Generic_Gas_OCGT_WestAna,Q4,0.7
Generic_Gas_OCGT_EastMed,Q1,0.7
Generic_Gas_OCGT_EastMed,Q2,0.6
Generic_Gas_OCGT_EastMed,Q3,0.7
Generic_Gas_OCGT_EastMed,Q4,0.7
Generic_Gas_OCGT_EastAna,Q1,0.7
Generic_Gas_OCGT_EastAna,Q2,0.6
Generic_Gas_OCGT_EastAna,Q3,0.7
Generic_Gas_OCGT_EastAna,Q4,0.7
Generic_Gas_OCGT_SouthEast,Q1,0.7
Generic_Gas_OCGT_SouthEast,Q2,0.6
Generic_Gas_OCGT_SouthEast,Q3,0.7
Generic_Gas_OCGT_SouthEast,Q4,0.7
Generic_Gas_OCGT_NorthWest,Q1,0.7
Generic_Gas_OCGT_NorthWest,Q2,0.6
Generic_Gas_OCGT_NorthWest,Q3,0.7
Generic_Gas_OCGT_NorthWest,Q4,0.7
Generic_Gas_OCGT_CenterAna,Q1,0.7
Generic_Gas_OCGT_CenterAna,Q2,0.6
Generic_Gas_OCGT_CenterAna,Q3,0.7
Generic_Gas_OCGT_CenterAna,Q4,0.7
Generic_Gas_OCGT_CenterBlack,Q1,0.7
Generic_Gas_OCGT_CenterBlack,Q2,0.6
Generic_Gas_OCGT_CenterBlack,Q3,0.7
Generic_Gas_OCGT_CenterBlack,Q4,0.7
Generic_Gas_OCGT_Trakia,Q1,0.7
Generic_Gas_OCGT_Trakia,Q2,0.6
Generic_Gas_OCGT_Trakia,Q3,0.7
Generic_Gas_OCGT_Trakia,Q4,0.7
AFSIN_ELBISTAN_A1,Q1,0.5
AFSIN_ELBISTAN_A1,Q2,0.45
AFSIN_ELBISTAN_A1,Q3,0.5
AFSIN_ELBISTAN_A1,Q4,0.5
AFSIN_ELBISTAN_A2,Q1,0.5
AFSIN_ELBISTAN_A2,Q2,0.45
AFSIN_ELBISTAN_A2,Q3,0.5
AFSIN_ELBISTAN_A2,Q4,0.5
AFSIN_ELBISTAN_A3,Q1,0.5
AFSIN_ELBISTAN_A3,Q2,0.45
AFSIN_ELBISTAN_A3,Q3,0.5
AFSIN_ELBISTAN_A3,Q4,0.5
AFSIN_ELBISTAN_A4,Q1,0.5
AFSIN_ELBISTAN_A4,Q2,0.45
AFSIN_ELBISTAN_A4,Q3,0.5
AFSIN_ELBISTAN_A4,Q4,0.5
EUAS_AFSIN_ELBISTAN_B1,Q1,0.5
EUAS_AFSIN_ELBISTAN_B1,Q2,0.45
EUAS_AFSIN_ELBISTAN_B1,Q3,0.5
EUAS_AFSIN_ELBISTAN_B1,Q4,0.5
EUAS_AFSIN_ELBISTAN_B2,Q1,0.5
EUAS_AFSIN_ELBISTAN_B2,Q2,0.45
EUAS_AFSIN_ELBISTAN_B2,Q3,0.5
EUAS_AFSIN_ELBISTAN_B2,Q4,0.5
EUAS_AFSIN_ELBISTAN_B3,Q1,0.5
EUAS_AFSIN_ELBISTAN_B3,Q2,0.45
EUAS_AFSIN_ELBISTAN_B3,Q3,0.5
EUAS_AFSIN_ELBISTAN_B3,Q4,0.5
EUAS_AFSIN_ELBISTAN_B4,Q1,0.5
EUAS_AFSIN_ELBISTAN_B4,Q2,0.45
EUAS_AFSIN_ELBISTAN_B4,Q3,0.5
EUAS_AFSIN_ELBISTAN_B4,Q4,0.5
BOLU_GOYNUK_1,Q1,0.5
BOLU_GOYNUK_1,Q2,0.45
BOLU_GOYNUK_1,Q3,0.5
BOLU_GOYNUK_1,Q4,0.5
BOLU_GOYNUK_2,Q1,0.5
BOLU_GOYNUK_2,Q2,0.45
BOLU_GOYNUK_2,Q3,0.5
BOLU_GOYNUK_2,Q4,0.5
EUAS_CAN_1,Q1,0.5
EUAS_CAN_1,Q2,0.45
EUAS_CAN_1,Q3,0.5
EUAS_CAN_1,Q4,0.5
EUAS_CAN_2,Q1,0.5
EUAS_CAN_2,Q2,0.45
EUAS_CAN_2,Q3,0.5
EUAS_CAN_2,Q4,0.5
CAN_II,Q1,0.5
CAN_II,Q2,0.45
CAN_II,Q3,0.5
CAN_II,Q4,0.5
EUAS_CAYIRHAN_1,Q1,0.5
EUAS_CAYIRHAN_1,Q2,0.45
EUAS_CAYIRHAN_1,Q3,0.5
EUAS_CAYIRHAN_1,Q4,0.5
EUAS_CAYIRHAN_2,Q1,0.5
EUAS_CAYIRHAN_2,Q2,0.45
EUAS_CAYIRHAN_2,Q3,0.5
EUAS_CAYIRHAN_2,Q4,0.5
EUAS_CAYIRHAN_3,Q1,0.5
EUAS_CAYIRHAN_3,Q2,0.45
EUAS_CAYIRHAN_3,Q3,0.5
EUAS_CAYIRHAN_3,Q4,0.5
EUAS_CAYIRHAN_4,Q1,0.5
EUAS_CAYIRHAN_4,Q2,0.45
EUAS_CAYIRHAN_4,Q3,0.5
EUAS_CAYIRHAN_4,Q4,0.5
CUMRA_SEKER_KONYA,Q1,0.5
CUMRA_SEKER_KONYA,Q2,0.45
CUMRA_SEKER_KONYA,Q3,0.5
CUMRA_SEKER_KONYA,Q4,0.5
CUMRA_TERMIK_KONYA,Q1,0.5
CUMRA_TERMIK_KONYA,Q2,0.45
CUMRA_TERMIK_KONYA,Q3,0.5
CUMRA_TERMIK_KONYA,Q4,0.5
KANGAL_1,Q1,0.5
KANGAL_1,Q2,0.45
KANGAL_1,Q3,0.5
KANGAL_1,Q4,0.5
KANGAL_2,Q1,0.5
KANGAL_2,Q2,0.45
KANGAL_2,Q3,0.5
KANGAL_2,Q4,0.5
KANGAL_3,Q1,0.5
KANGAL_3,Q2,0.45
KANGAL_3,Q3,0.5
KANGAL_3,Q4,0.5
KEMERKOY_1,Q1,0.5
KEMERKOY_1,Q2,0.45
KEMERKOY_1,Q3,0.5
KEMERKOY_1,Q4,0.5
KEMERKOY_2,Q1,0.5
KEMERKOY_2,Q2,0.45
KEMERKOY_2,Q3,0.5
KEMERKOY_2,Q4,0.5
KEMERKOY_3,Q1,0.5
KEMERKOY_3,Q2,0.45
KEMERKOY_3,Q3,0.5
KEMERKOY_3,Q4,0.5
ORHANELI,Q1,0.5
ORHANELI,Q2,0.45
ORHANELI,Q3,0.5
ORHANELI,Q4,0.5
POLAT,Q1,0.5
POLAT,Q2,0.45
POLAT,Q3,0.5
POLAT,Q4,0.5
SEYITOMER_1,Q1,0.5
SEYITOMER_1,Q2,0.45
SEYITOMER_1,Q3,0.5
SEYITOMER_1,Q4,0.5
SEYITOMER_2,Q1,0.5
SEYITOMER_2,Q2,0.45
SEYITOMER_2,Q3,0.5
SEYITOMER_2,Q4,0.5
SEYITOMER_3,Q1,0.5
SEYITOMER_3,Q2,0.45
SEYITOMER_3,Q3,0.5
SEYITOMER_3,Q4,0.5
SEYITOMER_4,Q1,0.5
SEYITOMER_4,Q2,0.45
SEYITOMER_4,Q3,0.5
SEYITOMER_4,Q4,0.5
EUAS_SOMA_A1,Q1,0.5
EUAS_SOMA_A1,Q2,0.45
EUAS_SOMA_A1,Q3,0.5
EUAS_SOMA_A1,Q4,0.5
EUAS_SOMA_A2,Q1,0.5
EUAS_SOMA_A2,Q2,0.45
EUAS_SOMA_A2,Q3,0.5
EUAS_SOMA_A2,Q4,0.5
SOMA_B1,Q1,0.5
SOMA_B1,Q2,0.45
SOMA_B1,Q3,0.5
SOMA_B1,Q4,0.5
SOMA_B2,Q1,0.5
SOMA_B2,Q2,0.45
SOMA_B2,Q3,0.5
SOMA_B2,Q4,0.5
SOMA_B3,Q1,0.5
SOMA_B3,Q2,0.45
SOMA_B3,Q3,0.5
SOMA_B3,Q4,0.5
SOMA_B4,Q1,0.5
SOMA_B4,Q2,0.45
SOMA_B4,Q3,0.5
SOMA_B4,Q4,0.5
SOMA_B5,Q1,0.5
SOMA_B5,Q2,0.45
SOMA_B5,Q3,0.5
SOMA_B5,Q4,0.5
SOMA_B6,Q1,0.5
SOMA_B6,Q2,0.45
SOMA_B6,Q3,0.5
SOMA_B6,Q4,0.5
SOMA_KOLIN_1,Q1,0.5
SOMA_KOLIN_1,Q2,0.45
SOMA_KOLIN_1,Q3,0.5
SOMA_KOLIN_1,Q4,0.5
SOMA_KOLIN_2,Q1,0.5
SOMA_KOLIN_2,Q2,0.45
SOMA_KOLIN_2,Q3,0.5
SOMA_KOLIN_2,Q4,0.5
TUFANBEYLI_1,Q1,0.5
TUFANBEYLI_1,Q2,0.45
TUFANBEYLI_1,Q3,0.5
TUFANBEYLI_1,Q4,0.5
TUFANBEYLI_2,Q1,0.5
TUFANBEYLI_2,Q2,0.45
TUFANBEYLI_2,Q3,0.5
TUFANBEYLI_2,Q4,0.5
TUFANBEYLI_3,Q1,0.5
TUFANBEYLI_3,Q2,0.45
TUFANBEYLI_3,Q3,0.5
TUFANBEYLI_3,Q4,0.5
TUNCBILEK_A,Q1,0.5
TUNCBILEK_A,Q2,0.45
TUNCBILEK_A,Q3,0.5
TUNCBILEK_A,Q4,0.5
TUNCBILEK_B1,Q1,0.5
TUNCBILEK_B1,Q2,0.45
TUNCBILEK_B1,Q3,0.5
TUNCBILEK_B1,Q4,0.5
TUNCBILEK_B2,Q1,0.5
TUNCBILEK_B2,Q2,0.45
TUNCBILEK_B2,Q3,0.5
TUNCBILEK_B2,Q4,0.5
YATAGAN_1,Q1,0.5
YATAGAN_1,Q2,0.45
YATAGAN_1,Q3,0.5
YATAGAN_1,Q4,0.5
YATAGAN_2,Q1,0.5
YATAGAN_2,Q2,0.45
YATAGAN_2,Q3,0.5
YATAGAN_2,Q4,0.5
YATAGAN_3,Q1,0.5
YATAGAN_3,Q2,0.45
YATAGAN_3,Q3,0.5
YATAGAN_3,Q4,0.5
YENIKOY_1,Q1,0.5
YENIKOY_1,Q2,0.45
YENIKOY_1,Q3,0.5
YENIKOY_1,Q4,0.5
YENIKOY_2,Q1,0.5
YENIKOY_2,Q2,0.45
YENIKOY_2,Q3,0.5
YENIKOY_2,Q4,0.5
YUNUS_EMRE,Q1,0.5
YUNUS_EMRE,Q2,0.45
YUNUS_EMRE,Q3,0.5
YUNUS_EMRE,Q4,0.5
WestMed_Agg_Lignite,Q1,0.5
WestMed_Agg_Lignite,Q2,0.45
WestMed_Agg_Lignite,Q3,0.5
WestMed_Agg_Lignite,Q4,0.5
EastAna_Agg_Lignite,Q1,0.5
EastAna_Agg_Lignite,Q2,0.45
EastAna_Agg_Lignite,Q3,0.5
EastAna_Agg_Lignite,Q4,0.5
SouthEast_Agg_Lignite,Q1,0.5
SouthEast_Agg_Lignite,Q2,0.45
SouthEast_Agg_Lignite,Q3,0.5
SouthEast_Agg_Lignite,Q4,0.5
NorthWest_Agg_Lignite,Q1,0.5
NorthWest_Agg_Lignite,Q2,0.45
NorthWest_Agg_Lignite,Q3,0.5
NorthWest_Agg_Lignite,Q4,0.5
CenterWest_Agg_Lignite,Q1,0.5
CenterWest_Agg_Lignite,Q2,0.45
CenterWest_Agg_Lignite,Q3,0.5
CenterWest_Agg_Lignite,Q4,0.5
CenterBlack_Agg_Lignite,Q1,0.5
CenterBlack_Agg_Lignite,Q2,0.45
CenterBlack_Agg_Lignite,Q3,0.5
CenterBlack_Agg_Lignite,Q4,0.5
Trakia_Agg_Lignite,Q1,0.5
Trakia_Agg_Lignite,Q2,0.45
Trakia_Agg_Lignite,Q3,0.5
Trakia_Agg_Lignite,Q4,0.5
EastMed_Agg_Lignite,Q1,0.5
EastMed_Agg_Lignite,Q2,0.45
EastMed_Agg_Lignite,Q3,0.5
EastMed_Agg_Lignite,Q4,0.5
WestAna_Agg_Lignite,Q1,0.5
WestAna_Agg_Lignite,Q2,0.45
WestAna_Agg_Lignite,Q3,0.5
WestAna_Agg_Lignite,Q4,0.5
CATALAGZI_B1,Q1,0.5
CATALAGZI_B1,Q2,0.45
CATALAGZI_B1,Q3,0.5
CATALAGZI_B1,Q4,0.5
CATALAGZI_B2,Q1,0.5
CATALAGZI_B2,Q2,0.45
CATALAGZI_B2,Q3,0.5
CATALAGZI_B2,Q4,0.5
ISDEMIR,Q1,0.5
ISDEMIR,Q2,0.45
ISDEMIR,Q3,0.5
ISDEMIR,Q4,0.5
KARDEMIR,Q1,0.5
KARDEMIR,Q2,0.45
KARDEMIR,Q3,0.5
KARDEMIR,Q4,0.5
ERDEMIR,Q1,0.5
ERDEMIR,Q2,0.45
ERDEMIR,Q3,0.5
ERDEMIR,Q4,0.5
SILOPI_1,Q1,0.5
SILOPI_1,Q2,0.45
SILOPI_1,Q3,0.5
SILOPI_1,Q4,0.5
SILOPI_2,Q1,0.5
SILOPI_2,Q2,0.45
SILOPI_2,Q3,0.5
SILOPI_2,Q4,0.5
SILOPI_3,Q1,0.5
SILOPI_3,Q2,0.45
SILOPI_3,Q3,0.5
SILOPI_3,Q4,0.5
AFSIN_ELBISTAN_CD,Q1,0.5
AFSIN_ELBISTAN_CD,Q2,0.45
AFSIN_ELBISTAN_CD,Q3,0.5
AFSIN_ELBISTAN_CD,Q4,0.5
ALPU,Q1,0.5
ALPU,Q2,0.45
ALPU,Q3,0.5
ALPU,Q4,0.5
ZONGULDAK,Q1,0.5
ZONGULDAK,Q2,0.45
ZONGULDAK,Q3,0.5
ZONGULDAK,Q4,0.5
DINAR,Q1,0.5
DINAR,Q2,0.45
DINAR,Q3,0.5
DINAR,Q4,0.5
ILGIN,Q1,0.5
ILGIN,Q2,0.45
ILGIN,Q3,0.5
ILGIN,Q4,0.5
KARAPINAR,Q1,0.5
KARAPINAR,Q2,0.45
KARAPINAR,Q3,0.5
KARAPINAR,Q4,0.5
KINIK,Q1,0.5
KINIK,Q2,0.45
KINIK,Q3,0.5
KINIK,Q4,0.5
MALKARA,Q1,0.5
MALKARA,Q2,0.45
MALKARA,Q3,0.5
MALKARA,Q4,0.5
AKSA_YALOVA,Q1,0.85
AKSA_YALOVA,Q2,0.6
AKSA_YALOVA,Q3,0.85
AKSA_YALOVA,Q4,0.85
ATLAS_1,Q1,0.85
ATLAS_1,Q2,0.6
ATLAS_1,Q3,0.85
ATLAS_1,Q4,0.85
ATLAS_2,Q1,0.85
ATLAS_2,Q2,0.6
ATLAS_2,Q3,0.85
ATLAS_2,Q4,0.85
BEKIRLI_1,Q1,0.85
BEKIRLI_1,Q2,0.6
BEKIRLI_1,Q3,0.85
BEKIRLI_1,Q4,0.85
BEKIRLI_2,Q1,0.85
BEKIRLI_2,Q2,0.6
BEKIRLI_2,Q3,0.85
BEKIRLI_2,Q4,0.85
