z,tech,f,y,value
Drc_E,ROR,Water,2030,0.6594952356964224
Drc_E,ROR,Water,2036,0.6594893576691087
Drc_E,ICE,Diesel,2030,0.0160653381305936
Drc_E,ICE,Diesel,2036,0.0137353432711858
Drc_E,ICE,HFO,2030,0.0210821465257333
Drc_E,ICE,HFO,2036,0.0173153616419756
Drc_E,PV,Solar,2030,0.4523517004847813
Drc_E,PV,Solar,2036,0.3302391859471041
Drc_E,ReservoirHydro,Water,2036,0.9905556082626642
Drc_E,BiomassPlant,Biomass,2030,0.8500107492490577
Drc_E,BiomassPlant,Biomass,2036,0.8500104984121776
Egypt,Storage,Battery,2030,0.2422329320725141
Egypt,Storage,Battery,2036,0.0612097812275564
Egypt,ROR,Water,2024,0.755723931058316
Egypt,ROR,Water,2030,0.755721878440539
Egypt,ROR,Water,2036,0.7557127379879641
Egypt,ICE,Diesel,2030,0.0520539772314074
Egypt,ICE,Diesel,2036,0.018637338544847
Egypt,ICE,Gas,2030,0.2534493632342602
Egypt,ICE,Gas,2036,0.2865712271149295
Egypt,ICE,HFO,2030,0.0653951743200299
Egypt,ICE,HFO,2036,0.0230149701404959
Egypt,OCGT,Gas,2024,8.176392626302294e-06
Egypt,OCGT,Gas,2030,2.392392392766451e-06
Egypt,OCGT,Gas,2036,0.0001158622044226
Egypt,OCGT,HFO,2024,4.543977236934165e-06
Egypt,OCGT,HFO,2030,8.864652833768603e-07
Egypt,OCGT,HFO,2036,1.3442962388491168e-06
Egypt,CCGT,Gas,2024,0.6336204383903727
Egypt,CCGT,Gas,2030,0.7652644840486716
Egypt,CCGT,Gas,2036,0.7732105635928639
Egypt,PV,Solar,2024,0.1820031104952634
Egypt,PV,Solar,2030,0.1820037203040846
Egypt,PV,Solar,2036,0.1820036296311918
Egypt,ReservoirHydro,Water,2024,0.5500005736144927
Egypt,ReservoirHydro,Water,2030,0.5500005861725544
Egypt,ReservoirHydro,Water,2036,0.776055456999403
Egypt,ST,Gas,2024,0.1931670789524552
Egypt,ST,Gas,2030,0.225042966669166
Egypt,ST,Gas,2036,0.2993653429794458
Egypt,ST,HFO,2024,1.882835632332781e-06
Egypt,CCGT_CCS,Gas,2036,0.8389729243643612
Egypt,Nuclear,Uranium,2030,0.9400003192712746
Egypt,Nuclear,Uranium,2036,0.9450003160381356
Egypt,BiomassPlant,Biomass,2030,0.961435378681918
Egypt,BiomassPlant,Biomass,2036,0.8500020606582055
Ethiopia,Storage,Battery,2030,0.4305422386631768
Ethiopia,Storage,Battery,2036,0.3397551335571366
Ethiopia,ROR,Water,2024,0.4741315526765909
Ethiopia,ROR,Water,2030,0.4432620593994093
Ethiopia,ROR,Water,2036,0.4741648127586298
Ethiopia,ICE,Diesel,2024,1.2608544791030154e-05
Ethiopia,ICE,Diesel,2030,3.230624527114328e-06
Ethiopia,ICE,Diesel,2036,5.528874783961508e-06
Ethiopia,ICE,HFO,2030,0.0554150405197096
Ethiopia,ICE,HFO,2036,0.0461125221671197
Ethiopia,PV,Solar,2024,0.1874390832688653
Ethiopia,PV,Solar,2030,2.179175815543881e-05
Ethiopia,PV,Solar,2036,0.2494052655593201
Ethiopia,ReservoirHydro,Water,2024,0.6059358006015373
Ethiopia,ReservoirHydro,Water,2030,0.4262052366850162
Ethiopia,ReservoirHydro,Water,2036,0.624108121014912
Ethiopia,Geothermal,Geothermal,2024,0.2352008078686847
Ethiopia,Geothermal,Geothermal,2030,0.2062021434820652
Ethiopia,Geothermal,Geothermal,2036,0.5592331696076951
Ethiopia,BiomassPlant,Biomass,2024,0.474292681923842
Ethiopia,BiomassPlant,Biomass,2030,5.422537943462236e-05
Ethiopia,BiomassPlant,Biomass,2036,0.6010503003179993
Libya,Storage,Battery,2030,0.1147883264705474
Libya,Storage,Battery,2036,0.0695828393322298
Libya,ICE,Diesel,2030,0.0275403351642704
Libya,ICE,Diesel,2036,0.0192473735341017
Libya,ICE,HFO,2030,0.0354619601814466
Libya,ICE,HFO,2036,0.0242062442139708
Libya,OCGT,Gas,2024,0.2761679669525466
Libya,OCGT,Gas,2030,0.1619603851443559
Libya,OCGT,Gas,2036,0.1111415470799235
Libya,CCGT,Gas,2024,0.7493094791173108
Libya,CCGT,Gas,2030,0.7779226963694664
Libya,CCGT,Gas,2036,0.6899168177908142
Libya,PV,Solar,2024,0.4149640169989816
Libya,PV,Solar,2030,0.4150325709874702
Libya,PV,Solar,2036,0.4149361291333773
Libya,ST,Gas,2030,0.3678918577372287
Libya,ST,Gas,2036,0.2131361966382536
Rwanda,Storage,Battery,2030,0.0745626252811482
Rwanda,Storage,Battery,2036,0.0376544375868308
Rwanda,ROR,Water,2024,0.5751127708512073
Rwanda,ROR,Water,2030,0.8875345672657868
Rwanda,ROR,Water,2036,0.8884509695698771
Rwanda,ICE,Diesel,2024,1.979397154591433e-05
Rwanda,ICE,Diesel,2030,6.048383808981804e-06
Rwanda,ICE,Diesel,2036,7.078493668587868e-06
Rwanda,ICE,Gas,2024,0.4147126076254758
Rwanda,ICE,Gas,2030,0.2721106233701381
Rwanda,ICE,Gas,2036,0.1542759834799084
Rwanda,ICE,HFO,2024,3.4705366347191895e-05
Rwanda,ICE,HFO,2030,1.2940359281258491e-05
Rwanda,ICE,HFO,2036,1.772145084298852e-05
Rwanda,ICE,Methane,2024,0.3156056025913247
Rwanda,ICE,Methane,2030,0.1459354659060246
Rwanda,ICE,Methane,2036,0.1135974052195233
Rwanda,OCGT,Gas,2024,0.0008066942343772
Rwanda,OCGT,Gas,2030,0.082429258841291
Rwanda,OCGT,Gas,2036,0.0065760180298612
Rwanda,CCGT,Gas,2030,0.4298049670510285
Rwanda,CCGT,Gas,2036,0.2194464274441897
Rwanda,PV,Solar,2024,0.222583855501555
Rwanda,PV,Solar,2030,0.2227619384391011
Rwanda,PV,Solar,2036,0.2227127362255795
Rwanda,ReservoirHydro,Water,2024,0.5837046021592741
Rwanda,ReservoirHydro,Water,2030,0.5837052077363973
Rwanda,ReservoirHydro,Water,2036,0.851533570365996
Rwanda,ST,Gas,2024,0.1359276278914123
Rwanda,ST,Gas,2030,0.1347406330323205
Rwanda,ST,Gas,2036,0.0656957796210222
Rwanda,ST,Peat,2024,4.685728002463388e-05
Rwanda,ST,Peat,2030,0.3623379098350608
Rwanda,ST,Peat,2036,0.1824487207880208
Rwanda,BiomassPlant,Biomass,2030,0.8500254838672642
Rwanda,BiomassPlant,Biomass,2036,0.8500250559277333
Somaliland,Storage,Battery,2030,0.2789816224583614
Somaliland,Storage,Battery,2036,0.0521428366881501
Somaliland,ROR,Water,2030,0.8263745686642558
Somaliland,ROR,Water,2036,0.5001863572424309
Somaliland,ICE,Diesel,2030,0.0224739494986745
Somaliland,ICE,Diesel,2036,0.0784474527371435
Somaliland,ICE,HFO,2030,0.0203523956927533
Somaliland,ICE,HFO,2036,0.2388522333545897
Somaliland,PV,Solar,2030,0.2663397918350377
Somaliland,PV,Solar,2036,0.2294600939585398
Somaliland,ReservoirHydro,Water,2036,0.9887829416356892
Mogadishu,Storage,Battery,2030,0.0442559484905526
Mogadishu,Storage,Battery,2036,0.0166366036183931
Mogadishu,ICE,Diesel,2030,0.0227001766184772
Mogadishu,ICE,Diesel,2036,0.02256646381185
Mogadishu,ICE,HFO,2030,0.0206606944607047
Mogadishu,ICE,HFO,2036,0.0199800742878706
Mogadishu,OCGT,Gas,2030,0.5314532184255037
Mogadishu,OCGT,Gas,2036,0.7354791323921357
Mogadishu,PV,Solar,2030,0.2882235342478212
Mogadishu,PV,Solar,2036,0.1938778099854495
SomaliaROC,Storage,Battery,2030,0.0442622127624666
SomaliaROC,Storage,Battery,2036,0.0176261083371534
SomaliaROC,ROR,Water,2030,0.8943081178647033
SomaliaROC,ROR,Water,2036,0.6933048854385448
SomaliaROC,ICE,Diesel,2030,0.022649381350609
SomaliaROC,ICE,Diesel,2036,0.0225493936935762
SomaliaROC,ICE,HFO,2030,0.0206009134472902
SomaliaROC,ICE,HFO,2036,0.019968948114876
SomaliaROC,OCGT,Gas,2030,0.2997142944470135
SomaliaROC,OCGT,Gas,2036,0.7390048778255307
SomaliaROC,PV,Solar,2030,0.2875025794273687
SomaliaROC,PV,Solar,2036,0.1935998419659681
SomaliaROC,ReservoirHydro,Water,2036,0.7568031766831598
SouthSudan,Storage,Battery,2030,0.0201730812997008
SouthSudan,Storage,Battery,2036,0.0141899454315362
SouthSudan,ROR,Water,2030,0.8500270711857529
SouthSudan,ROR,Water,2036,0.6113635372337373
SouthSudan,ICE,Diesel,2024,0.8407138671975216
SouthSudan,ICE,Diesel,2030,0.0319296718150503
SouthSudan,ICE,Diesel,2036,0.0098719122372923
SouthSudan,ICE,HFO,2030,0.4137383987545842
SouthSudan,ICE,HFO,2036,0.0422879188871557
SouthSudan,PV,Solar,2030,0.2301142753691452
SouthSudan,PV,Solar,2036,0.2300508848346454
SouthSudan,ReservoirHydro,Water,2030,0.8017880242053128
SouthSudan,ReservoirHydro,Water,2036,0.7862061193662935
Sudan,Storage,Battery,2030,0.0273192762447412
Sudan,Storage,Battery,2036,0.0294264563329284
Sudan,ROR,Water,2030,0.7000600727798069
Sudan,ROR,Water,2036,0.7000549998677461
Sudan,ICE,Diesel,2030,0.0324930279247681
Sudan,ICE,Diesel,2036,0.0110280106645533
Sudan,ICE,HFO,2030,0.0490742290485331
Sudan,ICE,HFO,2036,0.0242824341806096
Sudan,OCGT,Gas,2024,0.7645756999016378
Sudan,OCGT,Gas,2030,0.7555669477643274
Sudan,OCGT,Gas,2036,0.5955117360848946
Sudan,OCGT,HFO,2024,0.2411344960734824
Sudan,OCGT,HFO,2030,0.0419331375823264
Sudan,OCGT,LFO,2030,0.2607541676954608
Sudan,OCGT,LFO,2036,0.1425877216942649
Sudan,CCGT,LFO,2024,0.5064447037622278
Sudan,PV,Solar,2030,0.2806318943499143
Sudan,PV,Solar,2036,0.2318302319741391
Sudan,ReservoirHydro,Water,2024,0.7710339580732373
Sudan,ReservoirHydro,Water,2030,0.7788518264268499
Sudan,ReservoirHydro,Water,2036,0.8668916671730171
Sudan,ST,HFO,2024,0.3685560667627888
Sudan,ST,HFO,2030,0.5168983144953588
Sudan,ST,HFO,2036,0.5013803544672616
Sudan,ST,Coal,2024,0.8513045663842818
Sudan,ST,Coal,2030,0.8605871303001921
Sudan,ST,Coal,2036,0.6857466868235584
Sudan,BiomassPlant,Biomass,2030,0.8000027385881519
Sudan,BiomassPlant,Biomass,2036,0.718249676750857
Tanzania,Storage,Battery,2030,0.2490520534535578
Tanzania,Storage,Battery,2036,0.0849918331864809
Tanzania,ROR,Water,2024,0.6609168119916315
Tanzania,ROR,Water,2030,0.6751908759075633
Tanzania,ROR,Water,2036,0.6751904095283469
Tanzania,ICE,Diesel,2024,7.145546499120114e-05
Tanzania,ICE,Diesel,2030,1.590847806537835e-05
Tanzania,ICE,Diesel,2036,2.402743219427818e-05
Tanzania,ICE,HFO,2024,1.2187585129279095e-05
Tanzania,ICE,HFO,2030,3.923419194844745e-06
Tanzania,ICE,HFO,2036,5.724018854365923e-06
Tanzania,OCGT,Gas,2024,0.4736981301066806
Tanzania,OCGT,Gas,2030,0.1293564282999076
Tanzania,OCGT,Gas,2036,0.0098960273384796
Tanzania,CCGT,Gas,2024,0.0002427017150648
Tanzania,CCGT,Gas,2030,0.0001693040487604
Tanzania,CCGT,Gas,2036,0.2124680556404529
Tanzania,PV,Solar,2030,0.2414541086505343
Tanzania,PV,Solar,2036,0.2404110408750278
Tanzania,ReservoirHydro,Water,2024,0.5475864108205284
Tanzania,ReservoirHydro,Water,2030,0.5478074306226425
Tanzania,ReservoirHydro,Water,2036,0.7339898111140676
Tanzania,ST,Coal,2030,1.2890569213109853
Tanzania,ST,Coal,2036,0.375444428201424
Tanzania,Geothermal,Geothermal,2030,1.4265176425985626
Tanzania,Geothermal,Geothermal,2036,1.1727773625160562
Tanzania,BiomassPlant,Biomass,2024,0.626493848701975
Tanzania,BiomassPlant,Biomass,2030,0.6457202674416291
Tanzania,BiomassPlant,Biomass,2036,0.6457186499062583
Uganda,Storage,Battery,2030,0.0781727674055097
Uganda,Storage,Battery,2036,0.0428275052089032
Uganda,ROR,Water,2024,0.588784913369846
Uganda,ROR,Water,2030,0.588722818620332
Uganda,ROR,Water,2036,0.5887228385198998
Uganda,ICE,Diesel,2030,0.0161344989415184
Uganda,ICE,Diesel,2036,0.0136671960751259
Uganda,ICE,HFO,2030,0.0211887091968508
Uganda,ICE,HFO,2036,0.0172863154200064
Uganda,OCGT,Gas,2030,0.0658548373493307
Uganda,OCGT,Gas,2036,0.0323182369456671
Uganda,CCGT,Gas,2030,0.4359363935303038
Uganda,CCGT,Gas,2036,0.2261737753099303
Uganda,PV,Solar,2024,0.2488261130258371
Uganda,PV,Solar,2030,0.2488351678046923
Uganda,PV,Solar,2036,0.2488212216151558
Uganda,ReservoirHydro,Water,2024,0.4045986411914561
Uganda,ReservoirHydro,Water,2030,0.4225152849481356
Uganda,ReservoirHydro,Water,2036,0.6546263335599778
Uganda,ST,Gas,2030,0.5346698239975713
Uganda,ST,Gas,2036,0.3034918802433686
Uganda,ST,HFO,2024,1.713202654995355e-05
Uganda,ST,HFO,2030,3.358225764570689e-06
Uganda,ST,HFO,2036,4.529984181241648e-06
Uganda,Geothermal,Geothermal,2030,0.9800871050614068
Uganda,Geothermal,Geothermal,2036,0.9800778514599836
Uganda,BiomassPlant,Biomass,2024,0.5657482584285165
Uganda,BiomassPlant,Biomass,2030,0.7078912130232211
Uganda,BiomassPlant,Biomass,2036,0.6748382250414047
