gen,zone,tech,fuel,Status,StYr,RetrYr,Capacity,UnitSize,DescreteCap,fuel2,HeatRate2,BuildLimitperYear,Life,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,Capex,FOMperMW,VOM,ReserveCost
TPP_Tuzla4_Old,BiH,ST,Coal,1.0,1971.0,2022.0,180.0,,,,,,,0.22,11.7552,0.7,0.7,0.0,0.05,,34800.0,5.3,0.0
TPP_Tuzla4,BiH,ST,Coal,1.0,2022.0,2051.0,180.0,,,,,,,0.22,12.35,1.0,1.0,0.0,0.05,,34800.0,5.3,0.0
TPP_Tuzla5,BiH,ST,Coal,1.0,1974.0,2025.0,180.0,,,,,,,0.22,11.4708,0.7,0.7,0.0,0.05,,32400.0,5.3,0.0
TPP_Tuzla6,BiH,ST,Coal,1.0,1978.0,2051.0,200.0,,,,,,,0.22,10.2384,0.7,0.7,0.0,0.05,,34800.0,3.7,0.0
TPP_Ugljevik,BiH,ST,Coal,1.0,1985.0,2035.0,279.0,,,,,,,0.22,10.902,0.7,0.7,0.0,0.05,,48000.0,5.0,0.0
Wind_Ex_BiH,BiH,OnshoreWind,Wind,1.0,2018.0,2044.0,135.0,,,,,,,,,,,,,,28180.0,,0.0
BECCS_New_BiH,BiH,BiomassPlant,Biomass,3.0,2045.0,,10000.0,,,,,100.0,40.0,0.22,11.37384698,1.0,1.0,0.0,0.05,5.4,135000.0,30.0,0.0
BESS2025_4h_BiH,BiH,Storage,Battery,,2028.0,,5000.0,,,,,120.0,20.0,,,1.0,1.0,0.0,1.0,1.05,21000.0,,0.0
BESS2025_8h_BiH,BiH,Storage,Battery,,2028.0,,5000.0,,,,,120.0,20.0,,,1.0,1.0,0.0,1.0,1.9,38000.0,,0.0
BESS2030_4h_BiH,BiH,Storage,Battery,3.0,2030.0,,5000.0,,,,,120.0,20.0,,,1.0,1.0,0.0,1.0,0.57,14000.0,,0.0
BESS2030_8h_BiH,BiH,Storage,Battery,3.0,2030.0,,5000.0,,,,,120.0,20.0,,,1.0,1.0,0.0,1.0,1.0,26000.0,,0.0
BESS2035_4h_BiH,BiH,Storage,Battery,3.0,2035.0,,5000.0,,,,,120.0,20.0,,,1.0,1.0,0.0,1.0,0.51,13000.0,,0.0
BESS2035_8h_BiH,BiH,Storage,Battery,3.0,2035.0,,5000.0,,,,,120.0,20.0,,,1.0,1.0,0.0,1.0,0.93,23000.0,,0.0
BESS2040_4h_BiH,BiH,Storage,Battery,3.0,2040.0,,5000.0,,,,,120.0,20.0,,,1.0,1.0,0.0,1.0,0.45,11000.0,,0.0
BESS2040_8h_BiH,BiH,Storage,Battery,3.0,2040.0,,5000.0,,,,,120.0,20.0,,,1.0,1.0,0.0,1.0,0.82,21000.0,,0.0
BESS2045_4h_BiH,BiH,Storage,Battery,3.0,2045.0,,5000.0,,,,,120.0,20.0,,,1.0,1.0,0.0,1.0,0.4,10000.0,,0.0
BESS2045_8h_BiH,BiH,Storage,Battery,3.0,2045.0,,5000.0,,,,,120.0,20.0,,,1.0,1.0,0.0,1.0,0.72,18000.0,,0.0
BESS2050_4h_BiH,BiH,Storage,Battery,3.0,2050.0,,5000.0,,,,,120.0,20.0,,,1.0,1.0,0.0,1.0,0.35,9000.0,,0.0
BESS2050_8h_BiH,BiH,Storage,Battery,3.0,2050.0,,5000.0,,,,,120.0,20.0,,,1.0,1.0,0.0,1.0,0.63,16000.0,,0.0
Biomass_New_BiH,BiH,BiomassPlant,Biomass,3.0,2026.0,,304.0,304.0,1.0,,,50.0,40.0,0.22,9.749011694,1.0,1.0,0.0,0.05,2.4,77500.0,3.5,0.0
CCGT_New_BiH,BiH,CCGT,Gas,3.0,2040.0,,10000.0,50.0,1.0,,,300.0,40.0,0.22,5.783312022,1.0,1.0,0.0,0.1,1.0,25000.0,3.5,0.0
CCGTCCS_New_BiH,BiH,CCGT,Gas,3.0,2045.0,,10000.0,50.0,1.0,,,300.0,40.0,0.22,6.7,1.0,1.0,0.0,0.1,3.08,80000.0,21.8,0.0
Coal_SubNew_BiH,BiH,ST,Coal,0.0,2030.0,,10000.0,50.0,1.0,,,300.0,40.0,0.22,8.749113059,1.0,1.0,0.0,0.05,1.7,45000.0,3.0,0.0
Coal_SuperNew_BiH,BiH,ST,Coal,0.0,2030.0,,10000.0,50.0,1.0,,,300.0,40.0,0.22,7.935242076,1.0,1.0,0.0,0.05,2.0,60000.0,3.0,0.0
Coal_UltraNew_BiH,BiH,ST,Coal,0.0,2030.0,,10000.0,50.0,1.0,,,300.0,40.0,0.22,7.582564651,1.0,1.0,0.0,0.05,2.2,65000.0,3.0,0.0
CoalCCS_New_BiH,BiH,ST,Coal,0.0,2045.0,,10000.0,50.0,1.0,,,300.0,40.0,0.22,9.478205814,1.0,1.0,0.0,0.05,5.08,100000.0,43.8,0.0
HPP Jajce 2 Rehab,BiH,ROR,Water,,2030.0,,30.0,30.0,1.0,,,30.0,,,,,,,,1.0,,,
HPP Salakovac Rehab,BiH,ROR,Water,,2030.0,,210.0,210.0,1.0,,,210.0,,,,,,,,0.36,,,
OCGT_New_BiH,BiH,OCGT,Gas,3.0,2030.0,,10000.0,50.0,1.0,,,100.0,40.0,,8.530385232,1.0,1.0,0.0,0.2,0.5,20000.0,3.5,0.0
PV_New_BiH,BiH,PV,Solar,3.0,2030.0,,10000.0,,,,,350.0,25.0,,,,,,,0.9,10000.0,,0.0
TPP_Kakanj5_Biomass,BiH,BiomassPlant,Biomass,3.0,2031.0,,70.0,70.0,1.0,,,70.0,40.0,0.22,10.19,1.0,1.0,0.0,0.05,0.428571429,48000.0,3.8,0.0
TPP_Tuzla3_Biomass,BiH,BiomassPlant,Biomass,3.0,2030.0,,75.6,75.6,1.0,,,75.6,40.0,0.22,9.48,1.0,1.0,0.0,0.05,1.322751323,38000.0,4.0,0.0
Wind_New_BiH,BiH,OnshoreWind,Wind,3.0,2030.0,,6300.0,,,,,250.0,30.0,,,,,,,1.26,38000.0,,0.0
HySto_Com_BiH,BiH,ReservoirHydro,Water,,2025.0,,215.0,,,,,215.0,30.0,,,1.0,1.0,0.0,0.3,2.65,60000.0,,0.0
HySto_New_BiH,BiH,ReservoirHydro,Water,,2029.0,,2200.0,,,,,500.0,30.0,,,1.0,1.0,0.0,0.3,2.65,60000.0,,0.0
PHP_New_BiH,BiH,Storage,Water,,2051.0,,1000.0,,,,,250.0,40.0,,,1.0,1.0,0.0,1.0,1.23,35872.0,,0.0
PHP_Vrilo ,BiH,Storage,Water,,2030.0,,66.0,,,,,66.0,40.0,,,1.0,1.0,0.0,1.0,1.23,35872.0,,0.0
PV_Com_BiH,BiH,PV,Solar,,2025.0,,290.0,,,,,290.0,25.0,,,,,,,0.9,10000.0,,0.0
RoR_Com_BiH,BiH,ROR,Water,,2025.0,,100.0,,,,,100.0,30.0,,,1.0,1.0,0.0,0.0,2.65,60000.0,,0.0
RoR_New_BiH,BiH,ROR,Water,,2029.0,,1000.0,,,,,300.0,30.0,,,1.0,1.0,0.0,0.0,2.65,60000.0,,0.0
Wind_Com_BiH,BiH,OnshoreWind,Wind,,2025.0,,109.0,,,,,5000.0,30.0,,,,,,,1.26,38000.0,,0.0
