g,z,tech,fuel,capacity_mw,start_year,retire_2020,retire_new,life,why
UCH_CCGT_2031,PAK_S,CCGT,LNG,375,2014,2031,2049,35,"commissioned 2014, 35 years of life"
WARSAK_HY_2031,PAK_N,HY,Water,243,1967,2031,2051,99,never retires on age
THAR _THAR BLOCK-II _HUB_ST_NEW_2031,PAK_S,ST,Coal,1533.3333333333,2021,2031,2051,60,reaches the end of the run still standing
JAMSHORO_ST_NEW_2031,PAK_S,ST,Coal,1533.3333333333,2023,2031,2051,60,reaches the end of the run still standing
KAMBARATA-1_HY_NEW_2031,KGZ_N,HY,Water,0,2027,2031,2051,99,never retires on age
BUKHTARMASKAYA_HY_2031,KAZ_N,HY,Water,675,1962,2031,2051,99,never retires on age
FARKHAD_HY_2031,UZB,HY,Water,311,1949,2031,2051,99,never retires on age
GOLOVNAYA_HY_2031,TAJ_S,HY,Water,240,1963,2031,2051,99,never retires on age
KAIRAKKUM_HY_2031,TAJ_N,HY,Water,126,1957,2031,2051,99,never retires on age
TASHKENT_ST_2023,UZB,ST,Gas,1800,1968,2023,2030,55,"past its life already, held to the floor year"
NOVO-ANGREN_ST_2030,UZB,ST,Coal,1440,1987,2030,2047,60,"commissioned 1987, 60 years of life"
NOVO-ANGREN_ST_2031,UZB,ST,Coal,240,2000,2031,2051,60,reaches the end of the run still standing
KARACHI _KARACHI NPP _(KANUPP)_ST_2023,PAK_KAR,ST,UR,0,1972,2023,2032,60,"commissioned 1972, 60 years of life"
KESC _SITE_ICE_2031,PAK_KAR,ICE,LNG,107,2011,2031,2041,30,"commissioned 2011, 30 years of life"
KORANGI_ICE_2030,PAK_KAR,ICE,LNG,107,2010,2030,2040,30,"commissioned 2010, 30 years of life"
KABANBAI _BATYR_PV_2031,KAZ_N,PV,Solar,100,2017,2031,2042,25,"commissioned 2017, 25 years of life"
KARAGANDA _HPS-1_ST_2031,KAZ_N,ST,Coal,100,1992,2031,2051,60,reaches the end of the run still standing
FAISALABAD_GT_2023,PAK_N,GT,LNG,1153,1975,2023,2030,35,"past its life already, held to the floor year"
NAGHLU_HY_2031,NEPS_AFG,HY,Water,100,1967,2031,2051,99,never retires on age
APPOLO _SOLAR_PV_2031,PAK_S,PV,Solar,100,2016,2031,2041,25,"commissioned 2016, 25 years of life"
BEST _GREEN_PV_2031,PAK_S,PV,Solar,100,2016,2031,2041,25,"commissioned 2016, 25 years of life"
Crest _Solar_PV_2031,PAK_S,PV,Solar,100,2016,2031,2041,25,"commissioned 2016, 25 years of life"
UCH-KURGANSK_HY_2020,KGZ_S,HY,Water,120,1963,2050,2051,99,never retires on age
SAHIWAL _PROJECT_ST_NEW_2031,PAK_S,ST,Coal,1533.3333333333,2023,2031,2051,60,reaches the end of the run still standing
KEYAL _KHWAR_HY_NEW_2031,PAK_N,HY,Water,122,2021,2031,2051,99,never retires on age
NUREK-2_HY_NEW_2031,TAJ_S,HY,Water,0,2022,2031,2051,99,never retires on age
UCH-KURGANSK_HY_NEW_2031,KGZ_S,HY,Water,220,2021,2031,2051,99,never retires on age
HAVELI _HAVELI BAHADUR _SHAH_CCGT_NEW_2031,PAK_N,CCGT,Gas,0,2018,2031,2051,35,reaches the end of the run still standing
GOLEN _GOL_HY_NEW_2031,PAK_N,HY,Water,526,2021,2031,2051,99,never retires on age
NEELUM-JHELUM_HY_NEW_2031,PAK_N,HY,Water,969,2026,2031,2051,99,never retires on age
TARBELA-IV_HY_NEW_2031,PAK_N,HY,Water,1410,2026,2031,2051,99,never retires on age
NUREK_1_HY_2022,TAJ_S,HY,Water,270,1972,2025,2025,53,"dated decision: Nurek is rehabilitated unit by unit. This row is the unit before rehabilitation and it stops when the unit goes off for works; NUREK_NUREK1-_REHAB_HY_NEW_2031 brings it back at 333 MW. Keeping the dated stop is what prevents the plant from being counted twice. (life set to 53 years, the stop being dated)"
NUREK_2_HY_2019,TAJ_S,HY,Water,270,1972,2022,2022,50,"dated decision: Same staged rehabilitation, replaced by NUREK_NUREK2-_REHAB_HY_NEW_2031. (life set to 50 years, the stop being dated)"
NUREK_3_HY_2023,TAJ_S,HY,Water,300,1973,2026,2026,53,"dated decision: Same staged rehabilitation, replaced by NUREK_NUREK3-_REHAB_HY_NEW_2031. (life set to 53 years, the stop being dated)"
NUREK_4_HY_2024,TAJ_S,HY,Water,300,1976,2027,2027,51,"dated decision: Same staged rehabilitation, replaced by NUREK_NUREK4-_REHAB_HY_NEW_2031. (life set to 51 years, the stop being dated)"
NUREK_5_HY_2020,TAJ_S,HY,Water,280,1977,2023,2023,46,"dated decision: Same staged rehabilitation, replaced by NUREK_NUREK5-_REHAB_HY_NEW_2031. (life set to 46 years, the stop being dated)"
NUREK_6_HY_2025,TAJ_S,HY,Water,300,1978,2028,2028,50,"dated decision: Same staged rehabilitation, replaced by NUREK_6-REHAB_HY_NEW_2031. (life set to 50 years, the stop being dated)"
NUREK_7_HY_2021,TAJ_S,HY,Water,300,1979,2024,2024,45,"dated decision: Same staged rehabilitation, replaced by NUREK_7-REHAB_HY_NEW_2031. (life set to 45 years, the stop being dated)"
NUREK_8_HY_2031,TAJ_S,HY,Water,340,2022,2031,2051,99,never retires on age
NUREK_9_HY_2026,TAJ_S,HY,Water,300,1979,2029,2029,50,"dated decision: Same staged rehabilitation, replaced by NUREK_9-REHAB_HY_NEW_2031. (life set to 50 years, the stop being dated)"
NUREK_NUREK1-_REHAB_HY_NEW_2031,TAJ_S,HY,Water,333,2027,2031,2051,99,never retires on age
NUREK_NUREK2-_REHAB_HY_NEW_2031,TAJ_S,HY,Water,333,2024,2031,2051,99,never retires on age
NUREK_NUREK3-_REHAB_HY_NEW_2031,TAJ_S,HY,Water,333,2028,2031,2051,99,never retires on age
NUREK_NUREK4-_REHAB_HY_NEW_2031,TAJ_S,HY,Water,333,2029,2031,2051,99,never retires on age
NUREK_NUREK5-_REHAB_HY_NEW_2031,TAJ_S,HY,Water,333,2025,2031,2051,99,never retires on age
NUREK_6-REHAB_HY_NEW_2031,TAJ_S,HY,Water,333,2030,2031,2051,99,never retires on age
NUREK_7-REHAB_HY_NEW_2031,TAJ_S,HY,Water,333,2026,2031,2051,99,never retires on age
NUREK_9-REHAB_HY_NEW_2031,TAJ_S,HY,Water,333,2031,2051,2051,99,never retires on age
ROGUN_1_HY_NEW_2031,TAJ_S,HY,Water,600,2019,2031,2051,99,never retires on age
ROGUN_2_HY_NEW_2031,TAJ_S,HY,Water,600,2021,2031,2051,99,never retires on age
ROGUN_3_HY_NEW_2031,TAJ_S,HY,Water,600,2023,2031,2051,99,never retires on age
ROGUN_4_HY_NEW_2031,TAJ_S,HY,Water,600,2025,2031,2051,99,never retires on age
ROGUN_5_HY_NEW_2031,TAJ_S,HY,Water,600,2027,2031,2051,99,never retires on age
ROGUN_6_HY_NEW_2031,TAJ_S,HY,Water,600,2029,2031,2051,99,never retires on age
PAK_S_WT_2031,PAK_S,WT,Wind,934,2014,2031,2039,25,"commissioned 2014, 25 years of life"
FWEL_WT_2031,PAK_S,WT,Wind,250,2014,2031,2039,25,"commissioned 2014, 25 years of life"
JHAMPIR _TRICON_WT_NEW_2031,PAK_S,WT,Wind,0,2019,2031,2044,25,"commissioned 2019, 25 years of life"
ATBASH_HY_2010,KGZ_N,HY,Water,40,2010,2031,2051,99,never retires on age
PAK_KAR_PV_Solar_committed,PAK_KAR,WT,Wind,600,2021,2031,2046,25,"commissioned 2021, 25 years of life"
SALMA_HPP,NEPS_HERAT,HY,Water,42,2017,2066,2051,99,never retires on age
NEPS_HERAT_PV_1,NEPS_HERAT,PV,Solar,20,2022,2047,2047,25,"commissioned 2022, 25 years of life"
NEPS_HERAT_WT,NEPS_HERAT,WT,Wind,25,2022,2047,2047,25,"commissioned 2022, 25 years of life"
IRAN_Import,NEPS_HERAT,INT,Import,400,2015,2031,2051,99,never retires on age
DARUNTA_HY,NEPS_AFG,HY,Water,11.55,1990,2031,2051,99,never retires on age
MAHIPER_HY,NEPS_AFG,HY,Water,66,1990,2031,2051,99,never retires on age
SOROBI_HY,NEPS_AFG,HY,Water,22,1990,2031,2051,99,never retires on age
PUL_E_KHUMRI_HY,NEPS_AFG,HY,Water,9,1990,2031,2051,99,never retires on age
KAJAKI II_HY,NEPS_AFG,HY,Water,100,2023,2031,2051,99,never retires on age
SEPS_PV,NEPS_AFG,PV,Solar,40,2023,2047,2048,25,"commissioned 2023, 25 years of life"
