g,availability,source,why
DUSHANBE-1_CHP_2023,0.522727,TJ TJDushamb1CO,"available over installed capacity, times one less the forced and scheduled outage rates"
DUSHANBE-2_CHP_2031,0.81,TJ TJDushamb2CO,"available over installed capacity, times one less the forced and scheduled outage rates"
DUSHANBE-2_CHP_NEW_2031,0.81,TJ TJDushamb2CO,"available over installed capacity, times one less the forced and scheduled outage rates"
EKIBASTUZ-1_ST_2023,0.765332,KZ KZ_Ekibastuz GRES-1,"available over installed capacity, times one less the forced and scheduled outage rates"
EKIBASTUZ-1_ST_2024,0.765332,KZ KZ_Ekibastuz GRES-1,"available over installed capacity, times one less the forced and scheduled outage rates"
EKIBASTUZ-2_ST_2030,0.789836,KZ KZ_Ekibastuz GRES-2,"available over installed capacity, times one less the forced and scheduled outage rates"
EKIBASTUZ-2_ST_2031,0.789836,KZ KZ_Ekibastuz GRES-2,"available over installed capacity, times one less the forced and scheduled outage rates"
EKIBASTUZ-2_ST_NEW_2031,0.607566,KZ KZ_Ekibastuz GRES-3,"available over installed capacity, times one less the forced and scheduled outage rates"
FERGANA_CHP_2023,0.722015,median of the 136 thermal units of the five DeCA books,"DeCA carries no such plant, see thermal_plants.csv for why; the median of the fleet it does carry stands in"
KARAGANDA _HPS-1_ST_2031,0.733851,KZ KZ_GRES 1 Karaganda Bassel Group,"available over installed capacity, times one less the forced and scheduled outage rates"
KARAGANDA _HPS-2_CHP_2023,0.741205,KZ KZ_GRES 2 Karaganda KazakhMys,"available over installed capacity, times one less the forced and scheduled outage rates"
KARAGANDA _TPS-2_CHP_2023,0.722015,median of the 136 thermal units of the five DeCA books,"DeCA carries no such plant, see thermal_plants.csv for why; the median of the fleet it does carry stands in"
KARAGANDA _TPS-3_CHP_2023,0.564986,KZ KZ_CHP-3 Karaganda Energo Center,"available over installed capacity, times one less the forced and scheduled outage rates"
KARAGANDA _TPS-3_CHP_2031,0.564986,KZ KZ_CHP-3 Karaganda Energo Center,"available over installed capacity, times one less the forced and scheduled outage rates"
KAZ_N_CHP_2023,0.722015,median of the 136 thermal units of the five DeCA books,"DeCA carries no such plant, see thermal_plants.csv for why; the median of the fleet it does carry stands in"
KAZ_S_CHP_2023,0.722015,median of the 136 thermal units of the five DeCA books,"DeCA carries no such plant, see thermal_plants.csv for why; the median of the fleet it does carry stands in"
LEBAP_GT_2031,0.718432,TM TMLebap___TG,"available over installed capacity, times one less the forced and scheduled outage rates"
MARY_CHP_2023,0.732461,TM TMMary_1__TV,"available over installed capacity, times one less the forced and scheduled outage rates"
MARY_GT_2031,0.732461,TM TMMary_2__TG,"available over installed capacity, times one less the forced and scheduled outage rates"
NAVOI_CCGT_2031,0.84728,UZ UZNavCCGT1CC,"available over installed capacity, times one less the forced and scheduled outage rates"
NAVOI_ST_2023,0.631579,UZ UZNavoi___TV,"available over installed capacity, times one less the forced and scheduled outage rates"
NAVOI_ST_NEW_2031,0.631579,UZ UZNavoi___TV,"available over installed capacity, times one less the forced and scheduled outage rates"
NOVO-ANGREN_ST_2030,0.527143,UZ UZNovoAngrTV,"available over installed capacity, times one less the forced and scheduled outage rates"
NOVO-ANGREN_ST_2031,0.527143,UZ UZNovoAngrTV,"available over installed capacity, times one less the forced and scheduled outage rates"
PAVLODAR-1_CHP_2023,0.581821,KZ KZ_CHP-1 Pavlodar - Aluminium Kazakhstan,"available over installed capacity, times one less the forced and scheduled outage rates"
PAVLODAR-1_CHP_2031,0.581821,KZ KZ_CHP-1 Pavlodar - Aluminium Kazakhstan,"available over installed capacity, times one less the forced and scheduled outage rates"
PAVLODAR-2_CHP_2023,0.711749,KZ KZ_CHP-2 PavlodarEnergo,"available over installed capacity, times one less the forced and scheduled outage rates"
PAVLODAR-3_CHP_2023,0.55412,KZ KZ_CHP-3 PavlodarEnergo,"available over installed capacity, times one less the forced and scheduled outage rates"
PAVLODAR-3_CHP_2031,0.55412,KZ KZ_CHP-3 PavlodarEnergo,"available over installed capacity, times one less the forced and scheduled outage rates"
PETROPAVLOVSK-2_CHP_2023,0.714636,KZ KZ_CHP SevkazEnergo Petropavlovsk,"available over installed capacity, times one less the forced and scheduled outage rates"
PETROPAVLOVSK-2_CHP_2031,0.714636,KZ KZ_CHP SevkazEnergo Petropavlovsk,"available over installed capacity, times one less the forced and scheduled outage rates"
SYRDARYA_ST_2023,0.862208,UZ UZSyrdarinTV,"available over installed capacity, times one less the forced and scheduled outage rates"
TAKHIATASH_ST_2023,0.75,UZ UZTakhiataTV,"available over installed capacity, times one less the forced and scheduled outage rates"
TAKHIATASH_ST_2027,0.75,UZ UZTakhiataTV,"available over installed capacity, times one less the forced and scheduled outage rates"
TAKHIATASH_ST_2029,0.75,UZ UZTakhiataTV,"available over installed capacity, times one less the forced and scheduled outage rates"
TAKHIATASH_ST_NEW_2031,0.75,UZ UZTakhiataTV,"available over installed capacity, times one less the forced and scheduled outage rates"
TASHKENT_CHP_2031,0.783947,UZ UZTashkentCO,"available over installed capacity, times one less the forced and scheduled outage rates"
TASHKENT_ST_2023,0.774194,UZ UZTashkentTV,"available over installed capacity, times one less the forced and scheduled outage rates"
TCHIMKENT-3_CHP_2023,0.7209,KZ KZ_CHP Shymkent,"available over installed capacity, times one less the forced and scheduled outage rates"
TOLIMARJON_CCGT_2031,0.9,UZ UZTalimardCC,"available over installed capacity, times one less the forced and scheduled outage rates"
TOLIMARJON_ST_2031,0.82125,UZ UZTalimardTV,"available over installed capacity, times one less the forced and scheduled outage rates"
TURKMENBASHI _REFINERY_GT_2031,0.385714,TM TMTurkmenbCO,"available over installed capacity, times one less the forced and scheduled outage rates"
TURKMENBASHI-1_ST_2024,0.385714,TM TMTurkmenbCO,"available over installed capacity, times one less the forced and scheduled outage rates"
TURKMENBASHI-1_ST_2026,0.385714,TM TMTurkmenbCO,"available over installed capacity, times one less the forced and scheduled outage rates"
UST-KAMENOGORSK _TETS_CHP_2023,0.764712,KZ KZ_CHP Ust-Kamenogorsk,"available over installed capacity, times one less the forced and scheduled outage rates"
UST-KAMENOGORSK _TETS_CHP_2031,0.764712,KZ KZ_CHP Ust-Kamenogorsk,"available over installed capacity, times one less the forced and scheduled outage rates"
WATAN_GT_2031,0.822756,TM TMVatan___TG,"available over installed capacity, times one less the forced and scheduled outage rates"
YAVAN_CHP_2023,0.722015,median of the 136 thermal units of the five DeCA books,"DeCA carries no such plant, see thermal_plants.csv for why; the median of the fleet it does carry stands in"
ZHAMBYL_ST_2023,0.757642,KZ KZ_Zhambyl GRES,"available over installed capacity, times one less the forced and scheduled outage rates"
ZHAMBYL_ST_2031,0.757642,KZ KZ_Zhambyl GRES,"available over installed capacity, times one less the forced and scheduled outage rates"
