,,,,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Angola,OnshoreWind,Q2,d1,0.488,0.501,0.519,0.534,0.538,0.496,0.271,0.519,0.547,0.467,0.384,0.306,0.245,0.208,0.195,0.193,0.228,0.283,0.345,0.4,0.437,0.444,0.417,0.398
Angola,OnshoreWind,Q2,d2,0.044,0.029,0.02,0.014,0.01,0.004,0.005,0.008,0.035,0.082,0.115,0.125,0.118,0.101,0.08,0.071,0.089,0.118,0.114,0.091,0.061,0.035,0.014,0.002
Angola,OnshoreWind,Q2,d3,0.07,0.055,0.046,0.033,0.031,0.055,0.05,0.181,0.272,0.266,0.236,0.195,0.172,0.185,0.219,0.252,0.316,0.374,0.355,0.287,0.204,0.137,0.085,0.053
Angola,OnshoreWind,Q2,d4,0.442,0.422,0.395,0.356,0.308,0.259,0.122,0.264,0.518,0.463,0.391,0.325,0.273,0.244,0.237,0.237,0.274,0.334,0.41,0.464,0.474,0.444,0.407,0.388
Angola,OnshoreWind,Q3,d1,0.466,0.451,0.437,0.425,0.407,0.386,0.225,0.269,0.494,0.495,0.435,0.369,0.308,0.261,0.234,0.218,0.234,0.284,0.376,0.463,0.514,0.533,0.516,0.483
Angola,OnshoreWind,Q3,d2,0.504,0.481,0.473,0.464,0.424,0.368,0.163,0.267,0.371,0.305,0.254,0.212,0.185,0.17,0.167,0.158,0.151,0.181,0.265,0.34,0.368,0.36,0.32,0.284
Angola,OnshoreWind,Q3,d3,0.604,0.599,0.599,0.615,0.626,0.588,0.347,0.488,0.457,0.352,0.28,0.238,0.22,0.22,0.241,0.274,0.391,0.544,0.668,0.737,0.757,0.754,0.744,0.728
Angola,OnshoreWind,Q3,d4,0.281,0.261,0.264,0.253,0.227,0.132,0.097,0.037,0.022,0.045,0.079,0.1,0.104,0.104,0.102,0.096,0.109,0.15,0.172,0.171,0.16,0.149,0.112,0.061
Angola,OnshoreWind,Q4,d1,0.274,0.295,0.291,0.254,0.206,0.082,0.077,0.048,0.045,0.057,0.062,0.057,0.05,0.055,0.087,0.137,0.205,0.248,0.198,0.099,0.053,0.029,0.027,0.063
Angola,OnshoreWind,Q4,d2,0.036,0.031,0.027,0.025,0.032,0.043,0.117,0.24,0.28,0.221,0.163,0.11,0.072,0.06,0.061,0.062,0.075,0.11,0.118,0.092,0.048,0.021,0.026,0.069
Angola,OnshoreWind,Q4,d3,0.437,0.402,0.353,0.27,0.196,0.093,0.043,0.001,0,0.01,0.03,0.037,0.035,0.033,0.054,0.164,0.501,0.705,0.722,0.566,0.506,0.523,0.501,0.42
Angola,OnshoreWind,Q4,d4,0.063,0.058,0.096,0.134,0.123,0.072,0.089,0.102,0.071,0.035,0.014,0.007,0.002,0,0,0,0.001,0.003,0.011,0.018,0.019,0.016,0.02,0.027
Botswana,PV,Q1,d1,0,0,0,0,0,0,0.006,0.168,0.399,0.562,0.666,0.724,0.732,0.696,0.612,0.459,0.228,0.049,0,0,0,0,0,0
Botswana,PV,Q1,d2,0,0,0,0,0,0,0.035,0.172,0.363,0.528,0.634,0.689,0.706,0.68,0.607,0.488,0.315,0.138,0.023,0,0,0,0,0
Botswana,PV,Q1,d3,0,0,0,0,0,0,0.025,0.181,0.378,0.537,0.646,0.697,0.706,0.678,0.584,0.423,0.242,0.078,0.005,0,0,0,0,0
Botswana,PV,Q1,d4,0,0,0,0,0,0,0.014,0.211,0.419,0.58,0.688,0.743,0.755,0.722,0.643,0.515,0.334,0.109,0,0,0,0,0,0
Botswana,PV,Q2,d1,0,0,0,0,0,0,0,0.148,0.401,0.576,0.683,0.739,0.741,0.689,0.583,0.399,0.201,0.02,0,0,0,0,0,0
Botswana,PV,Q2,d2,0,0,0,0,0,0,0.002,0.209,0.44,0.601,0.708,0.764,0.776,0.743,0.664,0.535,0.352,0.121,0,0,0,0,0,0
Botswana,PV,Q2,d3,0,0,0,0,0,0,0,0.181,0.419,0.592,0.706,0.766,0.779,0.747,0.669,0.54,0.355,0.12,0,0,0,0,0,0
Botswana,PV,Q2,d4,0,0,0,0,0,0,0,0.136,0.394,0.577,0.691,0.749,0.761,0.727,0.648,0.513,0.314,0.045,0,0,0,0,0,0
Botswana,PV,Q3,d1,0,0,0,0,0,0,0,0.197,0.461,0.638,0.741,0.793,0.802,0.766,0.672,0.532,0.327,0.052,0,0,0,0,0,0
Botswana,PV,Q3,d2,0,0,0,0,0,0,0,0.198,0.439,0.613,0.715,0.772,0.784,0.751,0.667,0.534,0.338,0.076,0,0,0,0,0,0
Botswana,PV,Q3,d3,0,0,0,0,0,0,0,0.185,0.425,0.602,0.716,0.775,0.786,0.752,0.672,0.538,0.348,0.107,0,0,0,0,0,0
Botswana,PV,Q3,d4,0,0,0,0,0,0,0.01,0.18,0.397,0.567,0.683,0.747,0.758,0.724,0.647,0.518,0.341,0.13,0,0,0,0,0,0
Botswana,PV,Q4,d1,0,0,0,0,0,0,0.019,0.209,0.439,0.614,0.728,0.787,0.798,0.762,0.679,0.546,0.36,0.139,0.001,0,0,0,0,0
Botswana,PV,Q4,d2,0,0,0,0,0,0,0.009,0.088,0.229,0.373,0.555,0.676,0.647,0.541,0.421,0.302,0.181,0.076,0.003,0,0,0,0,0
Botswana,PV,Q4,d3,0,0,0,0,0,0,0.029,0.215,0.412,0.562,0.643,0.701,0.719,0.682,0.591,0.462,0.297,0.111,0.007,0,0,0,0,0
Botswana,PV,Q4,d4,0,0,0,0,0,0,0.039,0.162,0.322,0.482,0.558,0.582,0.577,0.465,0.413,0.342,0.236,0.124,0.029,0,0,0,0,0
Botswana,OnshoreWind,Q1,d1,0.422,0.425,0.43,0.413,0.388,0.366,0.334,0.582,0.498,0.251,0.118,0.068,0.042,0.031,0.037,0.057,0.081,0.09,0.098,0.095,0.1,0.124,0.157,0.186
Botswana,OnshoreWind,Q1,d2,0.087,0.177,0.433,0.672,0.839,0.944,0.976,0.984,0.975,0.941,0.874,0.772,0.653,0.553,0.501,0.503,0.541,0.637,0.718,0.712,0.691,0.687,0.702,0.692
Botswana,OnshoreWind,Q1,d3,0.467,0.484,0.482,0.446,0.395,0.334,0.224,0.2,0.368,0.237,0.099,0.041,0.032,0.036,0.041,0.044,0.045,0.054,0.095,0.182,0.277,0.338,0.33,0.291
Botswana,OnshoreWind,Q1,d4,0.601,0.552,0.513,0.491,0.468,0.436,0.34,0.211,0.305,0.233,0.217,0.192,0.167,0.162,0.179,0.227,0.314,0.425,0.566,0.693,0.713,0.667,0.577,0.535
Botswana,OnshoreWind,Q2,d1,0.513,0.571,0.596,0.609,0.618,0.618,0.615,0.526,0.363,0.442,0.414,0.271,0.157,0.087,0.057,0.053,0.072,0.16,0.338,0.54,0.679,0.746,0.748,0.733
Botswana,OnshoreWind,Q2,d2,0.38,0.411,0.43,0.446,0.464,0.461,0.429,0.205,0.093,0.067,0.018,0.003,0,0,0,0,0,0,0.005,0.039,0.148,0.332,0.491,0.57
Botswana,OnshoreWind,Q2,d3,0.744,0.68,0.67,0.649,0.59,0.523,0.508,0.435,0.758,0.666,0.473,0.325,0.241,0.218,0.236,0.289,0.367,0.466,0.663,0.773,0.8,0.771,0.702,0.652
Botswana,OnshoreWind,Q2,d4,0.773,0.737,0.727,0.761,0.819,0.86,0.859,0.832,0.946,0.962,0.944,0.867,0.737,0.599,0.498,0.442,0.425,0.496,0.682,0.772,0.772,0.739,0.688,0.672
Botswana,OnshoreWind,Q3,d1,0.514,0.601,0.723,0.756,0.732,0.702,0.687,0.593,0.233,0.19,0.362,0.207,0.118,0.071,0.046,0.035,0.032,0.049,0.142,0.352,0.566,0.687,0.746,0.769
Botswana,OnshoreWind,Q3,d2,0.084,0.106,0.11,0.103,0.093,0.078,0.061,0.046,0.009,0,0,0,0.001,0.004,0.009,0.011,0.008,0.013,0.048,0.121,0.19,0.209,0.195,0.195
Botswana,OnshoreWind,Q3,d3,0.814,0.802,0.788,0.769,0.75,0.735,0.715,0.804,0.913,0.865,0.761,0.624,0.498,0.432,0.441,0.512,0.615,0.697,0.783,0.814,0.808,0.792,0.791,0.755
Botswana,OnshoreWind,Q3,d4,0.018,0.118,0.355,0.618,0.767,0.796,0.772,0.568,0.436,0.306,0.054,0.001,0,0,0,0.003,0.02,0.088,0.341,0.672,0.819,0.852,0.85,0.816
Botswana,OnshoreWind,Q4,d1,0.823,0.82,0.828,0.827,0.822,0.818,0.855,0.954,0.957,0.931,0.868,0.753,0.599,0.444,0.323,0.247,0.218,0.235,0.454,0.737,0.847,0.86,0.834,0.815
Botswana,OnshoreWind,Q4,d2,0.983,0.984,0.984,0.977,0.957,0.926,0.901,0.898,0.89,0.866,0.819,0.712,0.519,0.366,0.36,0.464,0.646,0.816,0.882,0.888,0.88,0.877,0.87,0.853
Botswana,OnshoreWind,Q4,d3,0.352,0.525,0.695,0.788,0.816,0.808,0.71,0.4,0.345,0.359,0.257,0.14,0.073,0.036,0.023,0.026,0.043,0.058,0.082,0.111,0.241,0.501,0.697,0.8
Botswana,OnshoreWind,Q4,d4,0.007,0.02,0.066,0.128,0.172,0.179,0.119,0.147,0.158,0.212,0.289,0.359,0.411,0.436,0.412,0.343,0.266,0.196,0.143,0.129,0.124,0.122,0.127,0.144
DRC,PV,Q1,d1,0,0,0,0,0,0,0.001,0.037,0.118,0.213,0.304,0.352,0.359,0.336,0.31,0.254,0.157,0.061,0.001,0,0,0,0,0
DRC,PV,Q1,d2,0,0,0,0,0,0,0.004,0.078,0.203,0.348,0.45,0.496,0.501,0.427,0.272,0.15,0.093,0.033,0,0,0,0,0,0
DRC,PV,Q1,d3,0,0,0,0,0,0,0.003,0.057,0.15,0.263,0.352,0.398,0.425,0.41,0.339,0.253,0.158,0.057,0.001,0,0,0,0,0
DRC,PV,Q1,d4,0,0,0,0,0,0,0.002,0.054,0.141,0.226,0.298,0.371,0.453,0.572,0.582,0.458,0.291,0.097,0,0,0,0,0,0
DRC,PV,Q2,d1,0,0,0,0,0,0,0.005,0.106,0.262,0.419,0.529,0.543,0.537,0.457,0.363,0.208,0.087,0.018,0,0,0,0,0,0
DRC,PV,Q2,d2,0,0,0,0,0,0,0.003,0.085,0.232,0.406,0.465,0.465,0.443,0.371,0.265,0.183,0.111,0.036,0,0,0,0,0,0
DRC,PV,Q2,d3,0,0,0,0,0,0,0.005,0.123,0.296,0.436,0.494,0.528,0.477,0.434,0.312,0.168,0.077,0.028,0,0,0,0,0,0
DRC,PV,Q2,d4,0,0,0,0,0,0,0.003,0.112,0.263,0.455,0.59,0.61,0.631,0.598,0.545,0.37,0.255,0.079,0,0,0,0,0,0
DRC,PV,Q3,d1,0,0,0,0,0,0,0,0.044,0.121,0.211,0.296,0.337,0.392,0.441,0.404,0.299,0.169,0.049,0,0,0,0,0,0
DRC,PV,Q3,d2,0,0,0,0,0,0,0.001,0.077,0.234,0.398,0.529,0.6,0.616,0.584,0.456,0.332,0.182,0.041,0,0,0,0,0,0
DRC,PV,Q3,d3,0,0,0,0,0,0,0.001,0.076,0.214,0.354,0.434,0.446,0.474,0.448,0.356,0.23,0.109,0.029,0,0,0,0,0,0
DRC,PV,Q3,d4,0,0,0,0,0,0,0.003,0.08,0.212,0.334,0.407,0.45,0.462,0.468,0.421,0.337,0.164,0.055,0,0,0,0,0,0
DRC,PV,Q4,d1,0,0,0,0,0,0,0.002,0.064,0.181,0.319,0.398,0.411,0.412,0.381,0.311,0.195,0.106,0.033,0,0,0,0,0,0
DRC,PV,Q4,d2,0,0,0,0,0,0,0,0.028,0.077,0.109,0.148,0.204,0.264,0.315,0.347,0.293,0.157,0.043,0,0,0,0,0,0
DRC,PV,Q4,d3,0,0,0,0,0,0,0.002,0.067,0.217,0.342,0.455,0.497,0.508,0.497,0.435,0.303,0.224,0.082,0.001,0,0,0,0,0
DRC,PV,Q4,d4,0,0,0,0,0,0,0.003,0.059,0.163,0.243,0.293,0.307,0.331,0.335,0.264,0.206,0.136,0.03,0,0,0,0,0,0
DRC,OnshoreWind,Q1,d1,0.099,0.11,0.109,0.095,0.077,0.065,0.049,0.002,0.001,0,0.001,0.005,0.01,0.008,0.006,0.008,0.013,0.017,0.02,0.045,0.065,0.05,0.042,0.048
DRC,OnshoreWind,Q1,d2,0.025,0.011,0.003,0.001,0,0,0.005,0.002,0,0.002,0.005,0.019,0.052,0.105,0.161,0.183,0.163,0.116,0.121,0.212,0.154,0.093,0.06,0.056
DRC,OnshoreWind,Q1,d3,0.001,0,0,0,0,0,0,0,0,0,0,0,0.003,0.012,0.019,0.021,0.022,0.025,0.061,0.135,0.13,0.112,0.1,0.061
DRC,OnshoreWind,Q1,d4,0.012,0.051,0.049,0.032,0.017,0.005,0.001,0,0.002,0.037,0.087,0.122,0.132,0.131,0.106,0.071,0.045,0.03,0.032,0.172,0.286,0.206,0.05,0.011
DRC,OnshoreWind,Q2,d1,0.17,0.154,0.051,0.034,0.054,0.065,0.044,0.002,0.002,0.016,0.029,0.03,0.019,0.007,0.003,0.001,0.001,0.002,0.012,0.104,0.227,0.172,0.084,0.014
DRC,OnshoreWind,Q2,d2,0.099,0.079,0.077,0.054,0.058,0.099,0.103,0.039,0.014,0.013,0.011,0.015,0.012,0.019,0.037,0.042,0.03,0.012,0.003,0.002,0.004,0.01,0.011,0.002
DRC,OnshoreWind,Q2,d3,0.195,0.179,0.084,0.054,0.014,0.003,0.037,0.001,0,0,0.003,0.002,0.001,0.002,0.006,0.008,0.007,0.005,0.002,0.001,0,0,0.004,0.048
DRC,OnshoreWind,Q2,d4,0.076,0.079,0.098,0.111,0.12,0.112,0.096,0.034,0.001,0.005,0.001,0,0,0.001,0,0,0,0,0.03,0.201,0.264,0.243,0.255,0.272
DRC,OnshoreWind,Q3,d1,0.264,0.276,0.3,0.255,0.187,0.136,0.094,0.015,0.02,0.088,0.084,0.07,0.06,0.046,0.032,0.016,0.005,0,0,0.012,0.126,0.274,0.41,0.449
DRC,OnshoreWind,Q3,d2,0.002,0.006,0.01,0.016,0.018,0.014,0.006,0.001,0,0,0,0,0,0,0,0,0,0,0.013,0.07,0.176,0.325,0.457,0.526
DRC,OnshoreWind,Q3,d3,0.093,0.087,0.074,0.068,0.062,0.061,0.058,0.03,0.118,0.124,0.067,0.037,0.013,0.002,0,0,0.005,0.015,0.053,0.208,0.348,0.33,0.207,0.148
DRC,OnshoreWind,Q3,d4,0.014,0.041,0.074,0.121,0.182,0.188,0.122,0.014,0.029,0.047,0.028,0.02,0.049,0.155,0.337,0.468,0.449,0.278,0.096,0.027,0.011,0.01,0.067,0.207
DRC,OnshoreWind,Q4,d1,0.001,0,0,0,0.01,0.063,0.151,0.124,0.011,0.022,0.005,0,0,0.001,0.011,0.03,0.057,0.041,0.083,0.241,0.295,0.27,0.233,0.182
DRC,OnshoreWind,Q4,d2,0.001,0.001,0.002,0.001,0.001,0.002,0.006,0.048,0.112,0.09,0.045,0.043,0.052,0.053,0.059,0.101,0.183,0.225,0.213,0.22,0.117,0.089,0.068,0.053
DRC,OnshoreWind,Q4,d3,0,0,0,0,0,0,0,0,0,0.001,0.002,0.001,0.002,0.004,0.006,0.017,0.047,0.072,0.08,0.135,0.14,0.148,0.164,0.154
DRC,OnshoreWind,Q4,d4,0,0,0.005,0.043,0.107,0.161,0.118,0.023,0.052,0.099,0.132,0.135,0.107,0.069,0.045,0.039,0.04,0.031,0.037,0.103,0.126,0.101,0.077,0.095
Lesotho,PV,Q1,d1,0,0,0,0,0,0,0.031,0.298,0.511,0.663,0.785,0.84,0.843,0.797,0.701,0.548,0.313,0.072,0,0,0,0,0,0
Lesotho,PV,Q1,d2,0,0,0,0,0,0.005,0.046,0.291,0.515,0.674,0.776,0.825,0.826,0.781,0.689,0.547,0.357,0.138,0.009,0,0,0,0,0
Lesotho,PV,Q1,d3,0,0,0,0,0,0.001,0.065,0.219,0.424,0.596,0.686,0.735,0.751,0.699,0.604,0.466,0.282,0.105,0.006,0,0,0,0,0
Lesotho,PV,Q1,d4,0,0,0,0,0,0,0.056,0.298,0.505,0.659,0.762,0.81,0.795,0.689,0.558,0.379,0.194,0.05,0,0,0,0,0,0
Lesotho,PV,Q2,d1,0,0,0,0,0,0,0,0.203,0.466,0.644,0.754,0.807,0.807,0.754,0.639,0.464,0.213,0,0,0,0,0,0,0
Lesotho,PV,Q2,d2,0,0,0,0,0,0,0.004,0.128,0.304,0.441,0.542,0.605,0.619,0.691,0.61,0.397,0.12,0.013,0,0,0,0,0,0
Lesotho,PV,Q2,d3,0,0,0,0,0,0,0.005,0.287,0.534,0.704,0.807,0.856,0.856,0.805,0.704,0.546,0.326,0.03,0,0,0,0,0,0
Lesotho,PV,Q2,d4,0,0,0,0,0,0,0,0.211,0.482,0.66,0.77,0.823,0.824,0.774,0.668,0.501,0.257,0,0,0,0,0,0,0
Lesotho,PV,Q3,d1,0,0,0,0,0,0,0,0.24,0.495,0.668,0.772,0.82,0.819,0.769,0.665,0.499,0.251,0,0,0,0,0,0,0
Lesotho,PV,Q3,d2,0,0,0,0,0,0,0,0.263,0.506,0.676,0.783,0.834,0.834,0.783,0.679,0.51,0.26,0.001,0,0,0,0,0,0
Lesotho,PV,Q3,d3,0,0,0,0,0,0,0.008,0.279,0.519,0.69,0.798,0.85,0.849,0.798,0.695,0.532,0.306,0.037,0,0,0,0,0,0
Lesotho,PV,Q3,d4,0,0,0,0,0,0,0.041,0.27,0.5,0.671,0.78,0.833,0.833,0.782,0.676,0.517,0.307,0.078,0,0,0,0,0,0
Lesotho,PV,Q4,d1,0,0,0,0,0,0,0.071,0.321,0.545,0.713,0.806,0.834,0.819,0.77,0.676,0.542,0.329,0.094,0,0,0,0,0,0
Lesotho,PV,Q4,d2,0,0,0,0,0,0,0.087,0.336,0.554,0.714,0.814,0.86,0.858,0.808,0.707,0.554,0.343,0.097,0,0,0,0,0,0
Lesotho,PV,Q4,d3,0,0,0,0,0,0,0.094,0.325,0.537,0.696,0.797,0.844,0.842,0.792,0.691,0.514,0.3,0.086,0.003,0,0,0,0,0
Lesotho,PV,Q4,d4,0,0,0,0,0,0.011,0.098,0.307,0.499,0.64,0.73,0.777,0.764,0.695,0.573,0.419,0.251,0.103,0.018,0,0,0,0,0
Lesotho,OnshoreWind,Q1,d1,0.042,0.056,0.075,0.096,0.118,0.16,0.236,0.212,0.459,0.661,0.713,0.729,0.744,0.739,0.719,0.69,0.621,0.464,0.401,0.371,0.38,0.419,0.444,0.495
Lesotho,OnshoreWind,Q1,d2,0.01,0.011,0.007,0.003,0.002,0.001,0,0.001,0.014,0.015,0.009,0.002,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.003
Lesotho,OnshoreWind,Q1,d3,0.167,0.168,0.155,0.152,0.145,0.133,0.097,0.084,0.093,0.089,0.089,0.079,0.063,0.048,0.029,0.012,0.004,0.001,0,0,0.003,0.012,0.018,0.017
Lesotho,OnshoreWind,Q1,d4,0,0,0.001,0.001,0,0,0,0,0.008,0.008,0.008,0.006,0.005,0.006,0.008,0.012,0.014,0.017,0.014,0.012,0.011,0.008,0.005,0.003
Lesotho,OnshoreWind,Q2,d1,0.07,0.083,0.088,0.091,0.089,0.1,0.069,0.052,0.033,0.175,0.252,0.226,0.178,0.132,0.092,0.058,0.028,0.006,0.001,0.001,0.002,0.006,0.014,0.027
Lesotho,OnshoreWind,Q2,d2,0.005,0.006,0.006,0.007,0.007,0.007,0.008,0.012,0.068,0.102,0.103,0.112,0.115,0.112,0.106,0.094,0.078,0.068,0.054,0.04,0.026,0.015,0.007,0.003
Lesotho,OnshoreWind,Q2,d3,0.164,0.122,0.112,0.082,0.056,0.06,0.072,0.068,0.177,0.487,0.682,0.75,0.756,0.73,0.663,0.539,0.329,0.158,0.073,0.032,0.005,0,0,0
Lesotho,OnshoreWind,Q2,d4,0.407,0.386,0.367,0.35,0.323,0.296,0.302,0.274,0.27,0.437,0.513,0.556,0.577,0.564,0.525,0.448,0.306,0.192,0.101,0.049,0.03,0.023,0.017,0.012
Lesotho,OnshoreWind,Q3,d1,0.018,0.03,0.044,0.054,0.058,0.047,0.041,0.045,0.035,0.081,0.139,0.179,0.215,0.231,0.213,0.164,0.112,0.065,0.039,0.028,0.021,0.02,0.025,0.035
Lesotho,OnshoreWind,Q3,d2,0.432,0.415,0.38,0.336,0.297,0.251,0.2,0.139,0.083,0.323,0.4,0.378,0.357,0.335,0.3,0.231,0.134,0.047,0.008,0.005,0.012,0.026,0.041,0.048
Lesotho,OnshoreWind,Q3,d3,0.502,0.549,0.615,0.669,0.69,0.7,0.714,0.652,0.659,0.962,0.981,0.984,0.982,0.976,0.958,0.897,0.688,0.391,0.156,0.05,0.025,0.017,0.017,0.026
Lesotho,OnshoreWind,Q3,d4,0.079,0.094,0.109,0.118,0.117,0.127,0.217,0.379,0.404,0.461,0.54,0.481,0.586,0.694,0.732,0.777,0.538,0.146,0.091,0.182,0.294,0.501,0.586,0.479
Lesotho,OnshoreWind,Q4,d1,0.021,0.019,0.019,0.02,0.017,0.019,0.025,0.023,0.084,0.096,0.089,0.082,0.085,0.098,0.112,0.126,0.141,0.14,0.105,0.08,0.073,0.074,0.084,0.097
Lesotho,OnshoreWind,Q4,d2,0.741,0.722,0.787,0.74,0.678,0.595,0.508,0.503,0.751,0.872,0.925,0.947,0.959,0.961,0.956,0.944,0.911,0.821,0.703,0.545,0.332,0.154,0.086,0.126
Lesotho,OnshoreWind,Q4,d3,0.037,0.052,0.118,0.147,0.162,0.218,0.288,0.341,0.248,0.12,0.009,0,0,0.002,0.012,0.03,0.048,0.07,0.049,0.037,0.03,0.026,0.024,0.022
Lesotho,OnshoreWind,Q4,d4,0.203,0.144,0.096,0.125,0.171,0.177,0.201,0.444,0.604,0.666,0.682,0.679,0.671,0.634,0.55,0.417,0.225,0.125,0.046,0.047,0.094,0.088,0.096,0.087
Malawi,PV,Q1,d1,0,0,0,0,0,0.007,0.062,0.225,0.383,0.501,0.574,0.606,0.596,0.543,0.445,0.305,0.144,0.033,0,0,0,0,0,0
Malawi,PV,Q1,d2,0,0,0,0,0,0.003,0.078,0.219,0.335,0.408,0.464,0.481,0.434,0.337,0.259,0.157,0.072,0.012,0,0,0,0,0,0
Malawi,PV,Q1,d3,0,0,0,0,0,0,0.047,0.163,0.295,0.347,0.386,0.411,0.456,0.434,0.334,0.213,0.087,0.014,0,0,0,0,0,0
Malawi,PV,Q1,d4,0,0,0,0,0,0,0.107,0.324,0.511,0.644,0.726,0.757,0.742,0.681,0.57,0.395,0.19,0.022,0,0,0,0,0,0
Malawi,PV,Q2,d1,0,0,0,0,0,0,0.072,0.265,0.475,0.609,0.684,0.712,0.724,0.672,0.562,0.405,0.217,0.022,0,0,0,0,0,0
Malawi,PV,Q2,d2,0,0,0,0,0,0,0.073,0.257,0.403,0.515,0.573,0.582,0.571,0.519,0.429,0.293,0.129,0.006,0,0,0,0,0,0
Malawi,PV,Q2,d3,0,0,0,0,0,0,0.044,0.215,0.434,0.623,0.722,0.765,0.759,0.705,0.6,0.443,0.235,0.012,0,0,0,0,0,0
Malawi,PV,Q2,d4,0,0,0,0,0,0,0.065,0.289,0.537,0.69,0.77,0.801,0.786,0.726,0.619,0.46,0.239,0.003,0,0,0,0,0,0
Malawi,PV,Q3,d1,0,0,0,0,0,0,0.062,0.239,0.433,0.569,0.65,0.649,0.635,0.581,0.501,0.344,0.158,0.013,0,0,0,0,0,0
Malawi,PV,Q3,d2,0,0,0,0,0,0,0.045,0.212,0.404,0.578,0.647,0.689,0.684,0.646,0.549,0.404,0.179,0.003,0,0,0,0,0,0
Malawi,PV,Q3,d3,0,0,0,0,0,0,0.1,0.368,0.569,0.702,0.781,0.805,0.79,0.729,0.611,0.45,0.234,0.014,0,0,0,0,0,0
Malawi,PV,Q3,d4,0,0,0,0,0,0,0.095,0.301,0.485,0.619,0.699,0.717,0.702,0.64,0.522,0.367,0.176,0.015,0,0,0,0,0,0
