paramNames,baseline,delayedHydro,delayedTransmission,EarlyCoalPhaseout_SA,HighRECapex,delHydro_CoalPhaseOut,delTrans_CoalPhaseOut
pGenDataInput,supply/pGenDataInput.csv,supply/sensitivity/pGenDataInput_delayedHydro_alt_3years.csv,supply/pGenDataInput.csv,supply/pGenDataInput.csv,supply/pGenDataInput.csv,supply/sensitivity/pGenDataInput_delayedHydro_alt_3years.csv,supply/pGenDataInput.csv
pGenDataInputDefault,supply/pGenDataInputDefault.csv,supply/pGenDataInputDefault.csv,supply/pGenDataInputDefault.csv,supply/pGenDataInputDefault.csv,supply/pGenDataInputDefault.csv,supply/pGenDataInputDefault.csv,supply/pGenDataInputDefault.csv
pAvailability,supply/pAvailabilityCustom.csv,supply/pAvailabilityCustom.csv,supply/pAvailabilityCustom.csv,supply/pAvailabilityCustom.csv,supply/pAvailabilityCustom.csv,supply/pAvailabilityCustom.csv,supply/pAvailabilityCustom.csv
pAvailabilityDefault,supply/pAvailabilityDefault.csv,supply/pAvailabilityDefault.csv,supply/pAvailabilityDefault.csv,supply/pAvailabilityDefault.csv,supply/pAvailabilityDefault.csv,supply/pAvailabilityDefault.csv,supply/pAvailabilityDefault.csv
pEvolutionAvailability,supply/pEvolutionAvailability.csv,supply/pEvolutionAvailability.csv,supply/pEvolutionAvailability.csv,supply/pEvolutionAvailability.csv,supply/pEvolutionAvailability.csv,supply/pEvolutionAvailability.csv,supply/pEvolutionAvailability.csv
pCapexTrajectories,supply/pCapexTrajectoriesCustom.csv,supply/pCapexTrajectoriesCustom.csv,supply/pCapexTrajectoriesCustom.csv,supply/pCapexTrajectoriesCustom.csv,supply/pCapexTrajectoriesCustom.csv,supply/pCapexTrajectoriesCustom.csv,supply/pCapexTrajectoriesCustom.csv
pCapexTrajectoriesDefault,supply/pCapexTrajectoriesDefault.csv,supply/pCapexTrajectoriesDefault.csv,supply/pCapexTrajectoriesDefault.csv,supply/pCapexTrajectoriesDefault.csv,supply/pCapexTrajectoriesDefaultHighRES.csv,supply/pCapexTrajectoriesDefault.csv,supply/pCapexTrajectoriesDefault.csv
pCSPData,supply/pCSPData.csv,supply/pCSPData.csv,supply/pCSPData.csv,supply/pCSPData.csv,supply/pCSPData.csv,supply/pCSPData.csv,supply/pCSPData.csv
pFuelPrice,supply/pFuelPrice.csv,supply/pFuelPrice.csv,supply/pFuelPrice.csv,supply/pFuelPrice.csv,supply/pFuelPrice.csv,supply/pFuelPrice.csv,supply/pFuelPrice.csv
pVREgenProfile,supply/pVREgenProfile.csv,supply/pVREgenProfile.csv,supply/pVREgenProfile.csv,supply/pVREgenProfile.csv,supply/pVREgenProfile.csv,supply/pVREgenProfile.csv,supply/pVREgenProfile.csv
pVREProfile,supply/pVREProfile.csv,supply/pVREProfile.csv,supply/pVREProfile.csv,supply/pVREProfile.csv,supply/pVREProfile.csv,supply/pVREProfile.csv,supply/pVREProfile.csv
pStorageDataInput,supply/pStorageDataInput.csv,supply/pStorageDataInput.csv,supply/pStorageDataInput.csv,supply/pStorageDataInput.csv,supply/pStorageDataInput.csv,supply/pStorageDataInput.csv,supply/pStorageDataInput.csv
pPlanningReserveMargin,reserve/pPlanningReserveMargin.csv,reserve/pPlanningReserveMargin.csv,reserve/pPlanningReserveMargin.csv,reserve/pPlanningReserveMargin.csv,reserve/pPlanningReserveMargin.csv,reserve/pPlanningReserveMargin.csv,reserve/pPlanningReserveMargin.csv
pSpinningReserveReqCountry,reserve/pSpinningReserveReqCountry.csv,reserve/pSpinningReserveReqCountry.csv,reserve/pSpinningReserveReqCountry.csv,reserve/pSpinningReserveReqCountry.csv,reserve/pSpinningReserveReqCountry.csv,reserve/pSpinningReserveReqCountry.csv,reserve/pSpinningReserveReqCountry.csv
pSpinningReserveReqSystem,reserve/pSpinningReserveReqSystem.csv,reserve/pSpinningReserveReqSystem.csv,reserve/pSpinningReserveReqSystem.csv,reserve/pSpinningReserveReqSystem.csv,reserve/pSpinningReserveReqSystem.csv,reserve/pSpinningReserveReqSystem.csv,reserve/pSpinningReserveReqSystem.csv
pEmissionsTotal,constraint/pEmissionsTotal.csv,constraint/pEmissionsTotal.csv,constraint/pEmissionsTotal.csv,constraint/pEmissionsTotal.csv,constraint/pEmissionsTotal.csv,constraint/pEmissionsTotal.csv,constraint/pEmissionsTotal.csv
pEmissionsCountry,constraint/pEmissionsCountry.csv,constraint/pEmissionsCountry.csv,constraint/pEmissionsCountry.csv,constraint/pEmissionsCountry.csv,constraint/pEmissionsCountry.csv,constraint/pEmissionsCountry.csv,constraint/pEmissionsCountry.csv
pMaxFuellimit,constraint/pMaxFuellimit.csv,constraint/pMaxFuellimit.csv,constraint/pMaxFuellimit.csv,constraint/pMaxFuellimit.csv,constraint/pMaxFuellimit.csv,constraint/pMaxFuellimit.csv,constraint/pMaxFuellimit.csv
pCarbonPrice,constraint/pCarbonPrice.csv,constraint/pCarbonPrice.csv,constraint/pCarbonPrice.csv,constraint/pCarbonPrice.csv,constraint/pCarbonPrice.csv,constraint/pCarbonPrice.csv,constraint/pCarbonPrice.csv
zext,trade/zext.csv,trade/zext.csv,trade/zext.csv,trade/zext.csv,trade/zext.csv,trade/zext.csv,trade/zext.csv
pExtTransferLimit,trade/pExtTransferLimit.csv,trade/pExtTransferLimit.csv,trade/pExtTransferLimit.csv,trade/pExtTransferLimit.csv,trade/pExtTransferLimit.csv,trade/pExtTransferLimit.csv,trade/pExtTransferLimit.csv
pLossFactorInternal,trade/pLossFactorInternal.csv,trade/pLossFactorInternal.csv,trade/pLossFactorInternal.csv,trade/pLossFactorInternal.csv,trade/pLossFactorInternal.csv,trade/pLossFactorInternal.csv,trade/pLossFactorInternal.csv
pMaxAnnualExternalTradeShare,trade/pMaxAnnualExternalTradeShare.csv,trade/pMaxAnnualExternalTradeShare.csv,trade/pMaxAnnualExternalTradeShare.csv,trade/pMaxAnnualExternalTradeShare.csv,trade/pMaxAnnualExternalTradeShare.csv,trade/pMaxAnnualExternalTradeShare.csv,trade/pMaxAnnualExternalTradeShare.csv
pMinImport,trade/pMinImport.csv,trade/pMinImport.csv,trade/pMinImport.csv,trade/pMinImport.csv,trade/pMinImport.csv,trade/pMinImport.csv,trade/pMinImport.csv
pMaxGenerationByFuel,constraint/pMaxGenerationByFuel.csv,constraint/pMaxGenerationByFuel.csv,constraint/pMaxGenerationByFuel.csv,constraint/pMaxGenerationByFuel_CoalSA.csv,constraint/pMaxGenerationByFuel.csv,constraint/pMaxGenerationByFuel_CoalSA.csv,constraint/pMaxGenerationByFuel_CoalSA.csv
pNewTransmission,trade/pNewTransmission.csv,trade/pNewTransmission.csv,trade/sensitivity/delayedTransmission.csv,trade/pNewTransmission.csv,trade/sensitivity/delayedTransmission.csv,trade/pNewTransmission.csv,trade/sensitivity/delayedTransmission.csv
pTradePrice,trade/pTradePrice.csv,trade/pTradePrice.csv,trade/pTradePrice.csv,trade/pTradePrice.csv,trade/pTradePrice.csv,trade/pTradePrice.csv,trade/pTradePrice.csv
pTransferLimit,trade/pTransferLimit.csv,trade/pTransferLimit.csv,trade/pTransferLimit.csv,trade/pTransferLimit.csv,trade/pTransferLimit.csv,trade/pTransferLimit.csv,trade/pTransferLimit.csv
pH2DataExcel,h2/pH2DataExcel.csv,h2/pH2DataExcel.csv,h2/pH2DataExcel.csv,h2/pH2DataExcel.csv,h2/pH2DataExcel.csv,h2/pH2DataExcel.csv,h2/pH2DataExcel.csv
pAvailabilityH2,h2/pAvailabilityH2.csv,h2/pAvailabilityH2.csv,h2/pAvailabilityH2.csv,h2/pAvailabilityH2.csv,h2/pAvailabilityH2.csv,h2/pAvailabilityH2.csv,h2/pAvailabilityH2.csv
pCapexTrajectoryH2,h2/pCapexTrajectoryH2.csv,h2/pCapexTrajectoryH2.csv,h2/pCapexTrajectoryH2.csv,h2/pCapexTrajectoryH2.csv,h2/pCapexTrajectoryH2.csv,h2/pCapexTrajectoryH2.csv,h2/pCapexTrajectoryH2.csv
pExternalH2,h2/pExternalH2.csv,h2/pExternalH2.csv,h2/pExternalH2.csv,h2/pExternalH2.csv,h2/pExternalH2.csv,h2/pExternalH2.csv,h2/pExternalH2.csv
pFuelDataH2,h2/pFuelDataH2.csv,h2/pFuelDataH2.csv,h2/pFuelDataH2.csv,h2/pFuelDataH2.csv,h2/pFuelDataH2.csv,h2/pFuelDataH2.csv,h2/pFuelDataH2.csv
