z,g,y,q,value
Gambia,Import Guinea,2025,m1,10.71362430398942
Gambia,Import Guinea,2025,m2,9.676821937380641
Gambia,Import Guinea,2025,m3,10.713624304644119
Gambia,Import Guinea,2025,m4,10.36802351622256
Gambia,Import Guinea,2025,m5,23.807516731494562
Gambia,Import Guinea,2025,m6,23.0395377948168
Gambia,Import Guinea,2025,m7,23.807519165065635
Gambia,Import Guinea,2025,m8,23.807519083247172
Gambia,Import Guinea,2025,m9,23.039534875560115
Gambia,Import Guinea,2025,m10,23.807522061509683
Gambia,Import Guinea,2025,m11,10.368023516968986
Gambia,Import Guinea,2025,m12,10.71362430457918
Gambia,Import Guinea,2030,m1,10.713624363314572
Gambia,Import Guinea,2030,m2,9.676821996948382
Gambia,Import Guinea,2030,m3,10.713624362795922
Gambia,Import Guinea,2030,m4,10.36802357425349
Gambia,Import Guinea,2030,m5,14.327923731022477
Gambia,Import Guinea,2030,m6,15.525850032575283
Gambia,Import Guinea,2030,m7,17.985447364592396
Gambia,Import Guinea,2030,m8,15.563608966411
Gambia,Import Guinea,2030,m9,15.100799281807715
Gambia,Import Guinea,2030,m10,15.294160990239405
Gambia,Import Guinea,2030,m11,10.368023607008865
Gambia,Import Guinea,2030,m12,10.713624363909148
Gambia,Import Senegal,2025,m1,29.759565539346696
Gambia,Import Senegal,2025,m2,26.87192781703653
Gambia,Import Senegal,2025,m3,29.759568491384584
Gambia,Import Senegal,2025,m4,28.79958386070073
Gambia,Import Senegal,2025,m5,22.86697958899959
Gambia,Import Senegal,2025,m6,25.410220346267128
Gambia,Import Senegal,2025,m7,25.232683498803752
Gambia,Import Senegal,2025,m8,24.18605963143976
Gambia,Import Senegal,2025,m9,23.669562244071976
Gambia,Import Senegal,2025,m10,26.737368143401092
Gambia,Import Senegal,2025,m11,28.79958670282693
Gambia,Import Senegal,2025,m12,29.759568246775185
Gambia,Import Senegal,2030,m1,0.00017923909491640767
Gambia,Import Senegal,2030,m2,0.0001579744587830667
Gambia,Import Senegal,2030,m3,0.0001696245366507288
Gambia,Import Senegal,2030,m4,0.0005060693954615957
Gambia,Import Senegal,2030,m5,0.004969184292229049
Gambia,Import Senegal,2030,m6,0.014212895702368037
Gambia,Import Senegal,2030,m7,0.010619627898989889
Gambia,Import Senegal,2030,m8,0.008125592501744109
Gambia,Import Senegal,2030,m9,0.003974152379609943
Gambia,Import Senegal,2030,m10,0.010787944599741726
Gambia,Import Senegal,2030,m11,2.071855238477938
Gambia,Import Senegal,2030,m12,0.00017752527699153262
Gambia,Import Senegal MV,2025,m1,0.0004359784139628934
Gambia,Import Senegal MV,2025,m2,0.00039081963151199416
Gambia,Import Senegal MV,2025,m3,0.00043921770762753273
Gambia,Import Senegal MV,2025,m4,0.00042627254849260626
Gambia,Import Senegal MV,2025,m5,0.00016152370763787444
Gambia,Import Senegal MV,2025,m6,0.0001579050590623773
Gambia,Import Senegal MV,2025,m7,0.00016203819668249544
Gambia,Import Senegal MV,2025,m8,0.00016282809696330263
Gambia,Import Senegal MV,2025,m9,0.00015721942362191963
Gambia,Import Senegal MV,2025,m10,0.00016272349817514234
Gambia,Import Senegal MV,2025,m11,0.0004289625006437495
Gambia,Import Senegal MV,2025,m12,0.0004388466854245533
Gambia,Import Senegal MV,2030,m1,2.7471061141819863e-05
Gambia,Import Senegal MV,2030,m2,2.4491591272907212e-05
Gambia,Import Senegal MV,2030,m3,2.6446069517854093e-05
Gambia,Import Senegal MV,2030,m4,2.4895870320314313e-05
Gambia,Import Senegal MV,2030,m5,2.608757233817506e-05
Gambia,Import Senegal MV,2030,m6,2.8426926500107173e-05
Gambia,Import Senegal MV,2030,m7,2.951238965289321e-05
Gambia,Import Senegal MV,2030,m8,2.9232732228611817e-05
Gambia,Import Senegal MV,2030,m9,2.6165900588623723e-05
Gambia,Import Senegal MV,2030,m10,2.691788512645472e-05
Gambia,Import Senegal MV,2030,m11,3.422755780248598e-05
Gambia,Import Senegal MV,2030,m12,2.7414556633766456e-05
Gambia,New ICE,2030,m1,9.300045864877948
Gambia,New ICE,2030,m2,8.4000421366331
Gambia,New ICE,2030,m3,9.300045826594518
Gambia,New ICE,2030,m4,9.000044288020963
Gambia,New ICE,2030,m5,9.300045547327809
Gambia,New ICE,2030,m6,9.000044542832283
Gambia,New ICE,2030,m7,9.300045906883685
Gambia,New ICE,2030,m8,9.300045739239607
Gambia,New ICE,2030,m9,9.000044602965069
Gambia,New ICE,2030,m10,9.30004572490737
Gambia,New ICE,2030,m11,9.000044316142993
Gambia,New ICE,2030,m12,9.300045815372942
Gambia,New CCGT,2030,m1,29.464884825875078
Gambia,New CCGT,2030,m2,26.044942580316164
Gambia,New CCGT,2030,m3,27.25098995674529
Gambia,New CCGT,2030,m4,25.166014067065245
Gambia,New CCGT,2030,m5,28.185624954006645
Gambia,New CCGT,2030,m6,30.600059623231047
Gambia,New CCGT,2030,m7,31.62006071780664
Gambia,New CCGT,2030,m8,31.620060944269117
Gambia,New CCGT,2030,m9,29.56873068876361
Gambia,New CCGT,2030,m10,30.843317349293386
Gambia,New CCGT,2030,m11,30.60005968096695
Gambia,New CCGT,2030,m12,30.86881471297478
Gambia,New Solar,2030,m1,15.67382102125894
Gambia,New Solar,2030,m2,14.999227859440579
Gambia,New Solar,2030,m3,18.799744579420018
Gambia,New Solar,2030,m4,19.739747241206715
Gambia,New Solar,2030,m5,19.242956687614942
Gambia,New Solar,2030,m6,15.757761332121087
Gambia,New Solar,2030,m7,14.887356262575583
Gambia,New Solar,2030,m8,16.23599316396077
Gambia,New Solar,2030,m9,16.19498648793417
Gambia,New Solar,2030,m10,17.41204272295266
Gambia,New Solar,2030,m11,14.887597616930337
Gambia,New Solar,2030,m12,15.248882527709478
Gambia,New BESS,2030,m1,0.001073902492657038
Gambia,New BESS,2030,m2,0.0010138307860058059
Gambia,New BESS,2030,m3,0.0011442092551111121
Gambia,New BESS,2030,m4,0.0011430686222009482
Gambia,New BESS,2030,m5,0.0011567841175756444
Gambia,New BESS,2030,m6,0.001029506034857515
Gambia,New BESS,2030,m7,0.001063467559508029
Gambia,New BESS,2030,m8,0.0010699290836172367
Gambia,New BESS,2030,m9,0.001089062533307751
Gambia,New BESS,2030,m10,0.0011479978449500812
Gambia,New BESS,2030,m11,0.0007657639994707464
Gambia,New BESS,2030,m12,0.0011388313761147408
Gambia,New OMVG Import,2030,m1,0.00017863392055735206
Gambia,New OMVG Import,2030,m2,0.00015747735391464878
Gambia,New OMVG Import,2030,m3,0.00016904641404157114
Gambia,New OMVG Import,2030,m4,0.0004909156690969684
Gambia,New OMVG Import,2030,m5,0.004219415208809098
Gambia,New OMVG Import,2030,m6,0.01224411058026333
Gambia,New OMVG Import,2030,m7,0.009193452397609643
Gambia,New OMVG Import,2030,m8,0.0062594955055542325
Gambia,New OMVG Import,2030,m9,0.003434645178482831
Gambia,New OMVG Import,2030,m10,0.009501473640779034
Gambia,New OMVG Import,2030,m11,1.2603666046095539
Gambia,New OMVG Import,2030,m12,0.0001767461225358275
Gambia,Solar Project,2030,m1,7.8310528902935355
Gambia,Solar Project,2030,m2,7.497794073929181
Gambia,Solar Project,2030,m3,9.35518452413829
Gambia,Solar Project,2030,m4,9.753370056492663
Gambia,Solar Project,2030,m5,9.61731250123859
Gambia,Solar Project,2030,m6,7.8781876000779985
Gambia,Solar Project,2030,m7,7.439944070909257
Gambia,Solar Project,2030,m8,8.117988267502984
Gambia,Solar Project,2030,m9,8.126770579850007
Gambia,Solar Project,2030,m10,8.706018966316725
Gambia,Solar Project,2030,m11,7.444557512337684
Gambia,Solar Project,2030,m12,7.624437475735826
Gambia,BESS Project,2030,m1,1.14944185495904
Gambia,BESS Project,2030,m2,1.1488152626680195
Gambia,BESS Project,2030,m3,1.4720116301797401
Gambia,BESS Project,2030,m4,1.522115535039664
Gambia,BESS Project,2030,m5,1.2938796597410553
Gambia,BESS Project,2030,m6,1.1813821001415077
Gambia,BESS Project,2030,m7,1.2336180117928837
Gambia,BESS Project,2030,m8,1.2175450765052784
Gambia,BESS Project,2030,m9,1.2344518242897733
Gambia,BESS Project,2030,m10,1.2620471688743942
Gambia,BESS Project,2030,m11,0.6116214913049949
Gambia,BESS Project,2030,m12,1.2220668668411312
