z,sumhdr,value
Tanzania,Unmet country spinning reserve costs: $m,0.005469086950528772
Tanzania,Unmet country planning reserve costs: $m,0.08774473202082061
Tanzania,Unmet system planning reserve costs: $m,0.0090659720855235
Tanzania,Import costs with internal zones: $m,5.390318474302045
Tanzania,Export revenues with internal zones: $m,-0.7764218804971758
Tanzania,Trade shared benefits: $m,-0.9922227103536821
DRC,Generation costs: $m,28.421689778382785
DRC,Fixed O&M: $m,11.424410582726084
DRC,Variable O&M: $m,1.3044520754467657
DRC,Fuel costs: $m,8.8508654400655
DRC,Transmission costs: $m,2.4011856875296105
DRC,Unmet country planning reserve costs: $m,1.0109765466916916
DRC,Unmet system planning reserve costs: $m,0.008414320728653729
DRC,Import costs with internal zones: $m,3.4818623043465884
DRC,Export revenues with internal zones: $m,-69.33323159846594
DRC,Trade shared benefits: $m,-86.3170671231564
Malawi,Generation costs: $m,9.124984932134831
Malawi,Fixed O&M: $m,5.742415599951477
Malawi,Variable O&M: $m,0.31204732448196243
Malawi,Transmission costs: $m,3.353163795256817
Malawi,Unmet demand costs: $m,8.119414704320388
Malawi,Unmet country planning reserve costs: $m,0.09551324476225229
Malawi,Unmet system planning reserve costs: $m,0.008988699836860053
Malawi,Import costs with internal zones: $m,101.59662344155132
Malawi,Export revenues with internal zones: $m,-64.53886554328831
Malawi,Trade shared benefits: $m,-37.00065360011333
DRC_South,Generation costs: $m,3.0839363271687756
DRC_South,Fixed O&M: $m,2.4976321809998323
DRC_South,Variable O&M: $m,0.11418988791878934
DRC_South,Transmission costs: $m,0.9902822433479493
DRC_South,Unmet demand costs: $m,58.95308949021981
DRC_South,Unmet country planning reserve costs: $m,1.1005899269068786
DRC_South,Unmet system planning reserve costs: $m,0.008031461891034174
DRC_South,Import costs with internal zones: $m,253.19021420186414
DRC_South,Export revenues with internal zones: $m,-0.004099034519401797
DRC_South,Trade shared benefits: $m,-89.40662721507387
Mozal,Unmet system planning reserve costs: $m,0.007683270402633424
Mozal,Import costs with internal zones: $m,58.26452876876433
Mozal,Export revenues with internal zones: $m,-1.291817459931488
Mozal,Trade shared benefits: $m,-0.6412541330425634
