c,sumhdr,value
Tanzania,Unmet country spinning reserve costs: $m,0.005469086950528772
Tanzania,Unmet country planning reserve costs: $m,0.08774473202082061
Tanzania,Unmet system planning reserve costs: $m,0.0090659720855235
Tanzania,Import costs with internal zones: $m,5.390318474302045
Tanzania,Export revenues with internal zones: $m,-0.7764218804971758
Tanzania,Trade shared benefits: $m,-0.9922227103536821
DRC,Generation costs: $m,12.932889304732075
DRC,Fixed O&M: $m,5.967530208424085
DRC,Variable O&M: $m,0.576852702067097
DRC,Fuel costs: $m,3.440390155259347
DRC,Transmission costs: $m,1.538709778740259
DRC,Unmet demand costs: $m,36.037632230395666
DRC,Unmet country planning reserve costs: $m,1.0657566110961751
DRC,Unmet system planning reserve costs: $m,0.008180281662921996
DRC,Import costs with internal zones: $m,156.12692006733047
DRC,Export revenues with internal zones: $m,-26.952793121083975
DRC,Trade shared benefits: $m,-88.20569469652047
Malawi,Generation costs: $m,9.124984932134831
Malawi,Fixed O&M: $m,5.742415599951477
Malawi,Variable O&M: $m,0.31204732448196243
Malawi,Transmission costs: $m,3.353163795256817
Malawi,Unmet demand costs: $m,8.119414704320388
Malawi,Unmet country planning reserve costs: $m,0.09551324476225229
Malawi,Unmet system planning reserve costs: $m,0.008988699836860053
Malawi,Import costs with internal zones: $m,101.59662344155132
Malawi,Export revenues with internal zones: $m,-64.53886554328831
Malawi,Trade shared benefits: $m,-37.00065360011333
