gen,zone,tech,fuel,StYr,RetrYr,Capacity,Status,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,DescreteCap,fuel2,HeatRate2,MaxTotalBuild,CapacityCredit,UnitSize
PSPCapljina,BiH,Storage,Water,1968,2051,440,1,,,1,1,0,1,35872,,0,0,,440,0,,,440,0.8,
PHP_Vrilo ,BiH,Storage,Water,2030,2060,66,2,,,1,1,0,1,35872,,0,1.23,40,66,0,,,66,0.8,
PHP_New_BiH,BiH,Storage,Water,2051,2060,0,3,,,1,1,0,1,35872,,0,1.23,40,0,0,,,0,0.8,
PHP_New_Alb,Albania,Storage,Water,2031,2060,0,3,,,1,1,0,1,35872,,0,1.23,40,0,0,,,0,0.8,
PHP_New_Kos,Kosovo,Storage,Water,2031,2060,0,3,,,1,1,0,1,35872,,0,1.23,40,0,0,,,0,0.8,
PHP_New_N_Mac,N_Macedonia,Storage,Water,2031,2060,0,3,,,1,1,0,1,35872,,0,1.23,40,0,0,,,0,0.8,
PHP_New_Mon,Serbia,Storage,Water,2031,2060,0,3,,,1,1,0,1,35872,,0,1.23,40,0,0,,,0,0.8,
PHP_New_Ser,Serbia,Storage,Water,2031,2060,0,3,,,1,1,0,1,35872,,0,1.23,40,0,0,,,0,0.8,
BESS2025_4h_BiH,BiH,Storage,Battery,2028,2045,0,3,,,1,1,0,1,21000,,0,1.05,20,0,0,,,0,0.7,
BESS2025_4h_Alb,Albania,Storage,Battery,2028,2045,0,3,,,1,1,0,1,21000,,0,1.05,20,0,0,,,0,0.7,
BESS2025_4h_N_Mac,N_Macedonia,Storage,Battery,2028,2045,0,3,,,1,1,0,1,21000,,0,1.05,20,0,0,,,0,0.7,
BESS2025_4h_Kos,Kosovo,Storage,Battery,2028,2045,0,3,,,1,1,0,1,21000,,0,1.05,20,0,0,,,0,0.7,
BESS2025_4h_Ser,Serbia,Storage,Battery,2028,2045,0,3,,,1,1,0,1,21000,,0,1.05,20,0,0,,,0,0.7,
BESS2025_4h_Mon,Montenegro,Storage,Battery,2028,2045,0,3,,,1,1,0,1,21000,,0,1.05,20,0,0,,,0,0.7,
BESS2030_4h_BiH,BiH,Storage,Battery,2030,2050,0,3,,,1,1,0,1,14000,,0,0.57,20,0,0,,,0,0.7,
BESS2030_4h_Alb,Albania,Storage,Battery,2030,2050,0,3,,,1,1,0,1,14000,,0,0.57,20,0,0,,,0,0.7,
BESS2030_4h_N_Mac,N_Macedonia,Storage,Battery,2030,2050,0,3,,,1,1,0,1,14000,,0,0.57,20,0,0,,,0,0.7,
BESS2030_4h_Kos,Kosovo,Storage,Battery,2030,2050,0,3,,,1,1,0,1,14000,,0,0.57,20,0,0,,,0,0.7,
BESS2030_4h_Ser,Serbia,Storage,Battery,2030,2050,0,3,,,1,1,0,1,14000,,0,0.57,20,0,0,,,0,0.7,
BESS2030_4h_Mon,Montenegro,Storage,Battery,2030,2050,0,3,,,1,1,0,1,14000,,0,0.57,20,0,0,,,0,0.7,
BESS2035_4h_BiH,BiH,Storage,Battery,2035,2055,0,3,,,1,1,0,1,13000,,0,0.51,20,0,0,,,0,0.7,
BESS2035_4h_Alb,Albania,Storage,Battery,2035,2055,0,3,,,1,1,0,1,13000,,0,0.51,20,0,0,,,0,0.7,
BESS2035_4h_N_Mac,N_Macedonia,Storage,Battery,2035,2055,0,3,,,1,1,0,1,13000,,0,0.51,20,0,0,,,0,0.7,
BESS2035_4h_Kos,Kosovo,Storage,Battery,2035,2055,0,3,,,1,1,0,1,13000,,0,0.51,20,0,0,,,0,0.7,
BESS2035_4h_Ser,Serbia,Storage,Battery,2035,2055,0,3,,,1,1,0,1,13000,,0,0.51,20,0,0,,,0,0.7,
BESS2035_4h_Mon,Montenegro,Storage,Battery,2035,2055,0,3,,,1,1,0,1,13000,,0,0.51,20,0,0,,,0,0.7,
BESS2040_4h_BiH,BiH,Storage,Battery,2040,2060,0,3,,,1,1,0,1,11000,,0,0.45,20,0,0,,,0,0.7,
BESS2040_4h_Alb,Albania,Storage,Battery,2040,2060,0,3,,,1,1,0,1,11000,,0,0.45,20,0,0,,,0,0.7,
BESS2040_4h_N_Mac,N_Macedonia,Storage,Battery,2040,2060,0,3,,,1,1,0,1,11000,,0,0.45,20,0,0,,,0,0.7,
BESS2040_4h_Kos,Kosovo,Storage,Battery,2040,2060,0,3,,,1,1,0,1,11000,,0,0.45,20,0,0,,,0,0.7,
BESS2040_4h_Ser,Serbia,Storage,Battery,2040,2060,0,3,,,1,1,0,1,11000,,0,0.45,20,0,0,,,0,0.7,
BESS2040_4h_Mon,Montenegro,Storage,Battery,2040,2060,0,3,,,1,1,0,1,11000,,0,0.45,20,0,0,,,0,0.7,
BESS2045_4h_BiH,BiH,Storage,Battery,2045,2065,0,3,,,1,1,0,1,10000,,0,0.4,20,0,0,,,0,0.7,
BESS2045_4h_Alb,Albania,Storage,Battery,2045,2065,0,3,,,1,1,0,1,10000,,0,0.4,20,0,0,,,0,0.7,
BESS2045_4h_N_Mac,N_Macedonia,Storage,Battery,2045,2065,0,3,,,1,1,0,1,10000,,0,0.4,20,0,0,,,0,0.7,
BESS2045_4h_Kos,Kosovo,Storage,Battery,2045,2065,0,3,,,1,1,0,1,10000,,0,0.4,20,0,0,,,0,0.7,
BESS2045_4h_Ser,Serbia,Storage,Battery,2045,2065,0,3,,,1,1,0,1,10000,,0,0.4,20,0,0,,,0,0.7,
BESS2045_4h_Mon,Montenegro,Storage,Battery,2045,2065,0,3,,,1,1,0,1,10000,,0,0.4,20,0,0,,,0,0.7,
BESS2050_4h_BiH,BiH,Storage,Battery,2050,2070,0,3,,,1,1,0,1,9000,,0,0.35,20,0,0,,,0,0.7,
BESS2050_4h_Alb,Albania,Storage,Battery,2050,2070,0,3,,,1,1,0,1,9000,,0,0.35,20,0,0,,,0,0.7,
BESS2050_4h_N_Mac,N_Macedonia,Storage,Battery,2050,2070,0,3,,,1,1,0,1,9000,,0,0.35,20,0,0,,,0,0.7,
BESS2050_4h_Kos,Kosovo,Storage,Battery,2050,2070,0,3,,,1,1,0,1,9000,,0,0.35,20,0,0,,,0,0.7,
BESS2050_4h_Ser,Serbia,Storage,Battery,2050,2070,0,3,,,1,1,0,1,9000,,0,0.35,20,0,0,,,0,0.7,
BESS2050_4h_Mon,Montenegro,Storage,Battery,2050,2070,0,3,,,1,1,0,1,9000,,0,0.35,20,0,0,,,0,0.7,
BESS2025_8h_BiH,BiH,Storage,Battery,2028,2045,0,3,,,1,1,0,1,38000,,0,1.9,20,0,0,,,0,0.8,
BESS2025_8h_Alb,Albania,Storage,Battery,2028,2045,0,3,,,1,1,0,1,38000,,0,1.9,20,0,0,,,0,0.8,
BESS2025_8h_N_Mac,N_Macedonia,Storage,Battery,2028,2045,0,3,,,1,1,0,1,38000,,0,1.9,20,0,0,,,0,0.8,
BESS2025_8h_Kos,Kosovo,Storage,Battery,2028,2045,0,3,,,1,1,0,1,38000,,0,1.9,20,0,0,,,0,0.8,
BESS2025_8h_Ser,Serbia,Storage,Battery,2028,2045,0,3,,,1,1,0,1,38000,,0,1.9,20,0,0,,,0,0.8,
BESS2025_8h_Mon,Montenegro,Storage,Battery,2028,2045,0,3,,,1,1,0,1,38000,,0,1.9,20,0,0,,,0,0.8,
BESS2030_8h_BiH,BiH,Storage,Battery,2030,2050,0,3,,,1,1,0,1,26000,,0,1,20,0,0,,,0,0.8,
BESS2030_8h_Alb,Albania,Storage,Battery,2030,2050,0,3,,,1,1,0,1,26000,,0,1,20,0,0,,,0,0.8,
BESS2030_8h_N_Mac,N_Macedonia,Storage,Battery,2030,2050,0,3,,,1,1,0,1,26000,,0,1,20,0,0,,,0,0.8,
BESS2030_8h_Kos,Kosovo,Storage,Battery,2030,2050,0,3,,,1,1,0,1,26000,,0,1,20,0,0,,,0,0.8,
BESS2030_8h_Ser,Serbia,Storage,Battery,2030,2050,0,3,,,1,1,0,1,26000,,0,1,20,0,0,,,0,0.8,
BESS2030_8h_Mon,Montenegro,Storage,Battery,2030,2050,0,3,,,1,1,0,1,26000,,0,1,20,0,0,,,0,0.8,
BESS2035_8h_BiH,BiH,Storage,Battery,2035,2055,0,3,,,1,1,0,1,23000,,0,0.93,20,0,0,,,0,0.8,
BESS2035_8h_Alb,Albania,Storage,Battery,2035,2055,0,3,,,1,1,0,1,23000,,0,0.93,20,0,0,,,0,0.8,
BESS2035_8h_N_Mac,N_Macedonia,Storage,Battery,2035,2055,0,3,,,1,1,0,1,23000,,0,0.93,20,0,0,,,0,0.8,
BESS2035_8h_Kos,Kosovo,Storage,Battery,2035,2055,0,3,,,1,1,0,1,23000,,0,0.93,20,0,0,,,0,0.8,
BESS2035_8h_Ser,Serbia,Storage,Battery,2035,2055,0,3,,,1,1,0,1,23000,,0,0.93,20,0,0,,,0,0.8,
BESS2035_8h_Mon,Montenegro,Storage,Battery,2035,2055,0,3,,,1,1,0,1,23000,,0,0.93,20,0,0,,,0,0.8,
BESS2040_8h_BiH,BiH,Storage,Battery,2040,2060,0,3,,,1,1,0,1,21000,,0,0.82,20,0,0,,,0,0.8,
BESS2040_8h_Alb,Albania,Storage,Battery,2040,2060,0,3,,,1,1,0,1,21000,,0,0.82,20,0,0,,,0,0.8,
BESS2040_8h_N_Mac,N_Macedonia,Storage,Battery,2040,2060,0,3,,,1,1,0,1,21000,,0,0.82,20,0,0,,,0,0.8,
BESS2040_8h_Kos,Kosovo,Storage,Battery,2040,2060,0,3,,,1,1,0,1,21000,,0,0.82,20,0,0,,,0,0.8,
BESS2040_8h_Ser,Serbia,Storage,Battery,2040,2060,0,3,,,1,1,0,1,21000,,0,0.82,20,0,0,,,0,0.8,
BESS2040_8h_Mon,Montenegro,Storage,Battery,2040,2060,0,3,,,1,1,0,1,21000,,0,0.82,20,0,0,,,0,0.8,
BESS2045_8h_BiH,BiH,Storage,Battery,2045,2065,0,3,,,1,1,0,1,18000,,0,0.72,20,0,0,,,0,0.8,
BESS2045_8h_Alb,Albania,Storage,Battery,2045,2065,0,3,,,1,1,0,1,18000,,0,0.72,20,0,0,,,0,0.8,
BESS2045_8h_N_Mac,N_Macedonia,Storage,Battery,2045,2065,0,3,,,1,1,0,1,18000,,0,0.72,20,0,0,,,0,0.8,
BESS2045_8h_Kos,Kosovo,Storage,Battery,2045,2065,0,3,,,1,1,0,1,18000,,0,0.72,20,0,0,,,0,0.8,
BESS2045_8h_Ser,Serbia,Storage,Battery,2045,2065,0,3,,,1,1,0,1,18000,,0,0.72,20,0,0,,,0,0.8,
BESS2045_8h_Mon,Montenegro,Storage,Battery,2045,2065,0,3,,,1,1,0,1,18000,,0,0.72,20,0,0,,,0,0.8,
BESS2050_8h_BiH,BiH,Storage,Battery,2050,2070,0,3,,,1,1,0,1,16000,,0,0.63,20,0,0,,,0,0.8,
BESS2050_8h_Alb,Albania,Storage,Battery,2050,2070,0,3,,,1,1,0,1,16000,,0,0.63,20,0,0,,,0,0.8,
BESS2050_8h_N_Mac,N_Macedonia,Storage,Battery,2050,2070,0,3,,,1,1,0,1,16000,,0,0.63,20,0,0,,,0,0.8,
BESS2050_8h_Kos,Kosovo,Storage,Battery,2050,2070,0,3,,,1,1,0,1,16000,,0,0.63,20,0,0,,,0,0.8,
BESS2050_8h_Ser,Serbia,Storage,Battery,2050,2070,0,3,,,1,1,0,1,16000,,0,0.63,20,0,0,,,0,0.8,
BESS2050_8h_Mon,Montenegro,Storage,Battery,2050,2070,0,3,,,1,1,0,1,16000,,0,0.63,20,0,0,,,0,0.8,
TPP_Vlora,Albania,ICE,Diesel,2011,2051,0.01,1,,,1,1,0,0.1,10000,3,,0,,,0,,,,1,
RoR_Ex_Alb,Albania,ROR,Water,2020,2051,512,1,,,1,1,0,0,15000,,,0,,,0,,,,0.7,
RoR_Com_Alb,Albania,ROR,Water,2025,2051,100,2,,,1,1,0,0,60000,,0,2.65,30,100,0,,,,0.7,
RoR_New_Alb,Albania,ROR,Water,2029,2051,0,3,,,1,1,0,0,60000,,0,2.65,30,0,0,,,,0.7,
HySto_Ex_Alb,Albania,ReservoirHydro,Water,2020,2051,1656,1,,,1,1,0,0.3,15000,,0,0,,1465,0,,,,0.9,
HySto_Com_Alb,Albania,ReservoirHydro,Water,2026,2051,115,2,,,1,1,0,0.3,60000,,0,2.65,30,115,0,,,,0.9,
HySto_New_Alb,Albania,ReservoirHydro,Water,2029,2051,0,3,,,1,1,0,0.3,60000,,0,2.65,30,0,0,,,,0.9,
Wind_Ex_Alb,Albania,OnshoreWind,Wind,2018,2044,0,1,,,,,,,28180,,0,0,,135,0,,,,0.25,
Wind_Com_Alb,Albania,OnshoreWind,Wind,2025,2060,223,2,,,,,,,38000,,0,1.26,30,5000,0,,,,0.25,
Wind_New_Alb,Albania,OnshoreWind,Wind,2027,2060,0,3,,,,,,,38000,,0,1.26,30,0,0,,,,0.25,
PV_Ex_Alb,Albania,PV,Solar,2020,2044,23,1,,,,,,,10000,,0,0,,5000,0,,,,0.1,
PV_Com_Alb,Albania,PV,Solar,2025,2060,115,2,,,,,,,10000,,0,0.9,25,5000,0,,,,0.1,
PV_New_Alb,Albania,PV,Solar,2026,2060,0,3,,,,,,,10000,,0,0.9,25,0,0,,,,0.1,
Coal_SubNew_Alb,Albania,ST,Coal,2026,2051,0,3,0.22,8.749113059,1,1,0,0.05,45000,3,0,1.7,40,0,0,,,,1,
Coal_SuperNew_Alb,Albania,ST,Coal,2026,2051,0,3,0.22,7.935242076,1,1,0,0.05,60000,3,0,2,40,0,0,,,,1,
Coal_UltraNew_Alb,Albania,ST,Coal,2028,2061,0,3,0.22,7.582564651,1,1,0,0.05,65000,3,0,2.2,40,0,0,,,,1,
CoalCCS_New_Alb,Albania,ST,Coal,2045,2080,0,3,0.22,9.478205814,1,1,0,0.05,100000,43.8,0,5.08,40,0,0,,,,1,
Biomass_New_Alb,Albania,BiomassPlant,Biomass,2028,2060,0,3,0.22,9.749011694,1,1,0,0.05,77500,3.5,0,2.4,40,0,0,,,,1,
BECCS_New_Alb,Albania,BiomassPlant,Biomass,2045,2080,0,3,0.22,11.37384698,1,1,0,0.05,135000,30,0,5.4,40,0,0,,,,1,
CCGT_New_Alb,Albania,CCGT,Gas,2030,2060,0,3,0.22,5.783312022,1,1,0,0.1,25000,3.5,0,1,40,0,0,,,,1,
OCGT_New_Alb,Albania,OCGT,Gas,2028,2060,0,3,,8.530385232,1,1,0,0.2,20000,3.5,0,0.5,40,10000,0,,,,1,
CCGTCCS_New_Alb,Albania,CCGT,Gas,2045,2080,0,3,0.22,6.7,1,1,0,0.1,80000,21.8,0,3.08,40,0,0,,,,1,
CCGTH2_New_Alb,Albania,CCGT,Gas,2030,2060,0,3,0.22,5.783312022,1,1,0,0.1,47500,3.5,0,1,40,0,0,,,,1,
TPP_Kolubara,Serbia,ST,Coal,1956,2029,225,1,0.22,12.6,0.6,0.6,0,0.05,34800,6,0,0,,,0,,,,1,
TPP_KostolacA,Serbia,ST,Coal,1967,2038,310,1,0.22,12.6,0.6,0.6,0,0.05,34800,6,0,0,,,0,,,,1,
TPP_KostolacB,Serbia,ST,Coal,1987,2038,700,1,0.22,11,0.6,0.6,0,0.05,34800,6,0,0,,,0,,,,1,
TPP_Morava,Serbia,ST,Coal,1969,2029,100,1,0.22,12.6,0.6,0.6,0,0.05,34800,6,0,0,,,0,,,,1,
TPP_TeslaA,Serbia,ST,Coal,1970,2031,1560,1,0.22,12.6,0.6,0.6,0,0.05,34800,6,0,0,,,0,,,,1,
TPP_TeslaB,Serbia,ST,Coal,1983,2051,1220,1,0.22,11,0.6,0.6,0,0.05,34800,6,0,0,,,0,,,,1,
TPP_KostolacB3,Serbia,ST,Coal,2025,2060,350,2,0.22,7.935242076,1,1,0,0.05,60000,3,0,2,40,350,0,,,,1,
CHP_Ser,Serbia,CHP,Gas,1990,2051,330,1,,8,1,0.7,,,34800,4,,0,,,0,,,,0.9,
Coal_SubNew_Ser,Serbia,ST,Coal,2026,2051,0,3,0.22,8.749113059,1,1,0,0.05,45000,3,0,1.7,40,0,0,,,,1,
Coal_SuperNew_Ser,Serbia,ST,Coal,2026,2051,0,3,0.22,7.935242076,1,1,0,0.05,60000,3,0,2,40,0,0,,,,1,
Coal_UltraNew_Ser,Serbia,ST,Coal,2028,2061,0,3,0.22,7.582564651,1,1,0,0.05,65000,3,0,2.2,40,0,0,,,,1,
CoalCCS_New_Ser,Serbia,ST,Coal,2045,2080,0,3,0.22,9.478205814,1,1,0,0.05,100000,43.8,0,5.08,40,0,0,,,,1,
Biomass_New_Ser,Serbia,BiomassPlant,Biomass,2028,2060,0,3,0.22,9.749011694,1,1,0,0.05,77500,3.5,0,2.4,40,0,0,,,,1,
BECCS_New_Ser,Serbia,BiomassPlant,Biomass,2045,2080,0,3,0.22,11.37384698,1,1,0,0.05,135000,30,0,5.4,40,0,0,,,,1,
CCGT_New_Ser,Serbia,CCGT,Gas,2030,2060,0,3,0.22,5.783312022,1,1,0,0.1,25000,3.5,0,1,40,0,0,,,,1,
OCGT_New_Ser,Serbia,OCGT,Gas,2028,2060,0,3,,8.530385232,1,1,0,0.2,20000,3.5,0,0.5,40,10000,0,,,,1,
CCGTCCS_New_Ser,Serbia,CCGT,Gas,2045,2080,0,3,0.22,6.7,1,1,0,0.1,80000,21.8,0,3.08,40,0,0,,,,1,
CCGTH2_New_Ser,Serbia,CCGT,Gas,2030,2060,0,3,0.22,5.783312022,1,1,0,0.1,47500,3.5,0,1,40,0,0,,,,1,
RoR_Ex_Ser,Serbia,ROR,Water,1960,2051,1980,1,,,1,1,0,0,15000,,0,0,,261,0,,,,0.7,
RoR_Com_Ser,Serbia,ROR,Water,2025,2051,0,2,,,1,1,0,0,60000,,0,2.65,30,0,0,,,,0.7,
RoR_New_Ser,Serbia,ROR,Water,2029,2051,0,3,,,1,1,0,0,60000,,0,2.65,30,0,0,,,,0.7,
HySto_Ex_Ser,Serbia,ReservoirHydro,Water,1955,2051,347,1,,,1,1,0,0.3,15000,,0,0,,1465,0,,,,0.9,
HySto_Com_Ser,Serbia,ReservoirHydro,Water,2025,2051,0,2,,,1,1,0,0.3,60000,,0,2.65,30,0,0,,,,0.9,
HySto_New_Ser,Serbia,ReservoirHydro,Water,2029,2051,0,3,,,1,1,0,0.3,60000,,0,2.65,30,0,0,,,,0.9,
Wind_Ex_Ser,Serbia,OnshoreWind,Wind,2018,2044,373,1,,,,,,,28180,,0,0,,135,0,,,,0.25,
Wind_Com_Ser,Serbia,OnshoreWind,Wind,2025,2060,0,2,,,,,,,38000,,0,1.26,30,0,0,,,,0.25,
Wind_New_Ser,Serbia,OnshoreWind,Wind,2027,2060,0,3,,,,,,,38000,,0,1.26,30,0,0,,,,0.25,
PV_Ex_Ser,Serbia,PV,Solar,2020,2044,51,1,,,,,,,10000,,0,0,,5000,0,,,,0.1,
PV_Com_Ser,Serbia,PV,Solar,2028,2060,1000,2,,,,,,,10000,,0,0.9,25,5000,0,,,,0.1,
PV_New_Ser,Serbia,PV,Solar,2026,2060,0,3,,,,,,,10000,,0,0.9,25,0,0,,,,0.1,
TPP_KosovaA,Kosovo,ST,Coal,1970,2034,432,1,0.22,12.6,0.6,0.6,0,0.05,34800,6,0,0,,,0,,,,1,
TPP_KosovaB,Kosovo,ST,Coal,1983,2051,528,1,0.22,11,0.6,0.6,0,0.05,34800,6,0,0,,,0,,,,1,
Coal_SubNew_Kos,Kosovo,ST,Coal,2026,2051,0,3,0.22,8.749113059,1,1,0,0.05,45000,3,0,1.7,40,0,0,,,,1,
Coal_SuperNew_Kos,Kosovo,ST,Coal,2026,2051,0,3,0.22,7.935242076,1,1,0,0.05,60000,3,0,2,40,0,0,,,,1,
Coal_UltraNew_Kos,Kosovo,ST,Coal,2028,2061,0,3,0.22,7.582564651,1,1,0,0.05,65000,3,0,2.2,40,0,0,,,,1,
CoalCCS_New_Kos,Kosovo,ST,Coal,2045,2080,0,3,0.22,9.478205814,1,1,0,0.05,100000,43.8,0,5.08,40,0,0,,,,1,
Biomass_New_Kos,Kosovo,BiomassPlant,Biomass,2028,2060,0,3,0.22,9.749011694,1,1,0,0.05,77500,3.5,0,2.4,40,0,0,,,,1,
BECCS_New_Kos,Kosovo,BiomassPlant,Biomass,2045,2080,0,3,0.22,11.37384698,1,1,0,0.05,135000,30,0,5.4,40,0,0,,,,1,
CCGT_New_Kos,Kosovo,CCGT,Gas,2030,2060,0,3,0.22,5.783312022,1,1,0,0.1,25000,3.5,0,1,40,0,0,,,,1,
OCGT_New_Kos,Kosovo,OCGT,Gas,2028,2060,0,3,,8.530385232,1,1,0,0.2,20000,3.5,0,0.5,40,0,0,,,,1,
CCGTCCS_New_Kos,Kosovo,CCGT,Gas,2045,2080,0,3,0.22,6.7,1,1,0,0.1,80000,21.8,0,3.08,40,0,0,,,,1,
CCGTH2_New_Kos,Kosovo,CCGT,Gas,2030,2060,0,3,0.22,5.783312022,1,1,0,0.1,47500,3.5,0,1,40,0,0,,,,1,
RoR_Ex_Kos,Kosovo,ROR,Water,1960,2051,120,1,,,1,1,0,0,15000,,0,0,,120,0,,,,0.7,
RoR_Com_Kos,Kosovo,ROR,Water,2025,2051,0,2,,,1,1,0,0,60000,,0,2.65,30,0,0,,,,0.7,
RoR_New_Kos,Kosovo,ROR,Water,2029,2051,0,3,,,1,1,0,0,60000,,0,2.65,30,0,0,,,,0.7,
HySto_Ex_Kos,Kosovo,ReservoirHydro,Water,1955,2051,0,1,,,1,1,0,0.3,15000,,0,0,,1465,0,,,,0.9,
HySto_Com_Kos,Kosovo,ReservoirHydro,Water,2025,2051,0,2,,,1,1,0,0.3,60000,,0,2.65,30,0,0,,,,0.9,
HySto_New_Kos,Kosovo,ReservoirHydro,Water,2029,2051,0,3,,,1,1,0,0.3,60000,,0,2.65,30,0,0,,,,0.9,
Wind_Ex_Kos,Kosovo,OnshoreWind,Wind,2018,2044,138,1,,,,,,,28180,,0,0,,135,0,,,,0.25,
