gen,zone,tech,fuel,StYr,RetrYr,Capacity,Status,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,DescreteCap,fuel2,HeatRate2,MinUtilization,RETech,UnitSize
EEC_Solar_PV,Eswatini,PV,Solar,2021,2060,10,1,,0,,,,,,,,0,,0,0,,0,0,1,0
Ethanol_project_BM_MWI,Malawi,ST,Biomass,2032,2060,28,3,,10,,,,,,10,,7.2,,28,0,,0,0,0,0
Existing _PV_NAM,Namibia,PV,Solar,2015,2060,127,1,,0,,,,,,,,0,,0,0,,0,0,1,0
Existing _PV_ZIM,Zimbabwe,PV,Solar,2022,2060,132,1,,0,,,,,,,,0,,,0,,0,0,1,0
Existing_AusWind_NAM,Namibia,OnshoreWind,Wind,2020,2055,5,1,,0,1,1,,,,,,,,0,0,,0,0,1,0
Existing_HY_MOZ,Mozambique,ReservoirHydro,Water,2000,2060,117,1,,,,,,0.406440138,,,0,0,50,,0,,0,0,0,0
ExistingCSP(CSP)_REN_ZAF,South_Africa,CSPPlant,CSP,2005,2045,0,1,,0,1,1,0,0.8,22000,3,0,0,30,,0,,0,0,0,0
ExistingHydro1985_HY_ZAF,South_Africa,ReservoirHydro,Water,1985,2060,44,1,,,,,,0.185,,,0,0,50,,0,,0,0,0,0
ExistingHydro2015_HY_ZAF,South_Africa,ReservoirHydro,Water,2015,2060,19,1,,,,,,0.185,,,0,0,50,,0,,0,0,0,0
ExistingSmallHydro2000_HY_AGO,Angola,ReservoirHydro,Water,2000,2060,16,1,,,,,,0.121826136,,,0,0,50,,0,,0,0,0,0
ExistingSmallHydro2012_HY_AGO,Angola,ReservoirHydro,Water,2012,2060,136,1,,,,,,0.121826136,,,0,0,50,,0,,0,0,0,0
ExistingSolar_REN_MOZ,Mozambique,PV,Solar,2019,2060,20,1,,0,,,,,,,,0,,0,0,,0,0,1,0
ExistingSolarPV(PV)_REN_ZAF,South_Africa,PV,Solar,2017,2060,2290,1,,0,,,,,,,,0,,,0,,0,0,1,0
ExistingWind_REN_ZAF,South_Africa,OnshoreWind,Wind,2015,2045,3442,1,,,,,,,,,,,,,0,,0,0,1,0
Ezulwini_HY_SWZ,Eswatini,ReservoirHydro,Water,2000,2060,20,1,,,,,,0.1,,,0,0,50,,0,,0,0,0,0
Francistown_TH_BWA,Botswana,ICE,HFO,2000,2026,73,1,,10.41544727,,,,,,,,0,,,0,,0,0,0,0
FuelOil_TZA,Tanzania,ICE,HFO,2013,2032,70,1,0.5,10.8,,,,,,,,,,,,,,,,
Gairezi_HY_ZWE,Zimbabwe,ROR,Water,2020,2060,40,1,,,,,,0.275342466,,,0,0,50,0,0,,0,0,0,0
Gariep_HY_ZAF,South_Africa,ReservoirHydro,Water,1971,2060,360,1,,,,,,0.185,,,0,0,50,,0,,0,0,0,0
GasTurbine_TH_LSO,Lesotho,OCGT,LNG,2027,2077,500,3,,,,,,,,,,1.016815742,,500,0,7,9.7,0.05,0,0
GasTurbine_TH_SWL,Eswatini,OCGT,LNG,2027,2077,500,3,,,,,,,,,,1.016815742,,400,0,7,9.7,0.05,0,0
GecaminesCoal(100)_TH_AGO,Lesotho,ST,Coal,2025,2070,0,3,,8.6,,,,,,,,2.466504472,,0,0,,0,0.05,0,0
GenericDieselCan_BWA,Botswana,ICE,HFO,2024,2054,500,3,,10.42,,,,,,,,0.933810376,,500,0,,0,0.06,0,0
GenericDieselCan_DRC,DRC,ICE,HFO,2024,2054,500,3,,10.42,,,,,,,,0.933810376,,500,0,,0,0.06,0,0
GenericDieselCan_LSO,Lesotho,ICE,HFO,2024,2054,200,3,,10.42,,,,,,,,0.933810376,,200,0,,0,0.06,0,0
GenericDieselCan_SWL,Eswatini,ICE,HFO,2024,2054,200,3,,10.42,,,,,,,,0.933810376,,200,0,,0,0.06,0,0
GenericDieselCan_ZAF,South_Africa,ICE,HFO,2024,2054,2000,3,,10.42,,,,,,,,0.933810376,,2000,0,,0,0.06,0,0
GenericDieselCan_ZMB,Zambia,ICE,HFO,2026,2053,200,3,,10.42,,,,,,,,0.830053667,,100,0,,0,0.06,0,0
Golomoti_BESS,Malawi,Storage,Battery,2022,2060,5,1,,,,,,,,,,0,,0,0,,0,0,0,0
Golomoti_PV_MWI,Malawi,PV,Solar,2022,2060,20,1,,0,,,,,,,,0,,0,0,,0,0,1,0
Gourikwa_TH_ZAF,South_Africa,OCGT,HFO,2007,2057,740,1,,9.39286647,,,,,,,,0,,,0,,0,0,0,0
GowkeNorth_TH_ZWE,Zimbabwe,ST,Coal,2031,2060,1400,3,,,,,,,,,0,0,50,0,0,,0,0,0,0
Grootvlei_TH_ZAF,South_Africa,ST,Coal,1969,2030,570,1,,13.1,,,,,,,,0,,,0,,0,0.05,0,186.6666667
Hale,Tanzania,ReservoirHydro,Water,2024,2060,21,1,,,0.24,0.24,,0.13,16900,0.003,,,,,,,,,,
Hamilton_Falls_HY_MWI,Malawi,ReservoirHydro,Water,2055,2060,87,3,,,,,,0.325077306,,,0,3.536,50,87,0,,0,0,0,0
Harare1_TH_ZWE,Zimbabwe,ST,Coal,1942,1970,21,1,,,,,,,,,,0,,,0,,0,0.1,0,32
Harare2_TH_ZWE,Zimbabwe,ST,Coal,1955,2024,20,1,,,,,,,,,,0,,,0,,0,0.1,0,18
Harare3_TH_ZWE,Zimbabwe,ST,Coal,1956,2024,60,1,,,,,,,,,,0,,,0,,0,0.1,0,30
Hendrina_TH_ZAF,South_Africa,ST,Coal,1976,2030,1011,1,,13.8,,,,,,,,0,,,0,,0,0.05,0,163.8
Hwange3Extension_TH_ZWE,Zimbabwe,ST,Coal,2023,2073,600,1,,9.22225941,,,,,,,,0,,0,0,,0,0.05,0,300
HwangeI_TH_ZWE,Zimbabwe,ST,Coal,1987,2037,600,1,,,,,,,,,,0,,,0,,0,0.1,0,347
HwangeII_TH_ZWE,Zimbabwe,ST,Coal,2020,2070,320,1,,,,,,,,,,0,,,0,,0,0.1,0,320
IndolaHFO_TH_ZMB,Zambia,ICE,HFO,2020,2055,110,1,,9.748974861,,,,,,,,0,,0,0,,0,0,0,0
Inga1_HY_DRC,DRC,ReservoirHydro,Water,1974,2060,351,1,,,,,,0.385,,,0,0,50,,0,,0,0,0,0
Inga2_HY_DRC,DRC,ReservoirHydro,Water,1982,2060,1424,1,,,,,,0.435,,,0,0,50,,0,,0,0,0,0
Inga3BC_HY_DRC,DRC,ReservoirHydro,Water,2037,2085,2800,3,,,,,,0.45,,,0,2.805581395,50,1400,0,,0,0,0,0
Ingula_HY_ZAF,South_Africa,Storage,Water,2017,2060,1324,1,,0,1,1,0,0.8,46500,0.55,0,0,50,0,0,,0,0,0,0
IPP_Luderitz_Wind_NAM,Namibia,OnshoreWind,Wind,2027,2057,50,2,,0,1,1,,,,,,,,50,0,,0,0,1,0
Iringa_Ibosa,Tanzania,ReservoirHydro,Water,2028,2060,36,3,,,0.25,0.25,,0.34,4090,0.5,,3.4,,36,,,,,,
Iringa_Nginayo,Tanzania,ReservoirHydro,Water,2030,2060,52,3,,,0.25,0.25,,0.37,4090,0.5,,2.4,,52,,,,,,
ItheziThezi_HY_ZMB,Zambia,ReservoirHydro,Water,2016,2060,120,1,,,,,,0.290144597,,,0,0,50,,0,,0,0,0,0
JNHPP_1,Tanzania,ReservoirHydro,Water,2024,2060,940,1,,,0.13,0.13,,0.34,1640,0.5,,,50,,,,,,,
JNHPP_2,Tanzania,ReservoirHydro,Water,2025,2060,1175,2,,,0.13,0.13,,0.34,1640,0.5,,1.3,50,1175,,,,,,
JohannesburgLandfillGas_TH_ZAF,South_Africa,OCGT,Gas,2000,2050,18,1,0.2,10,0.33,0.33,,,,,,0,,,0,7,10.7,0.2,0,18
KafueGorge_HY_ZMB,Zambia,ReservoirHydro,Water,1977,2060,990,1,,,,,,0.345925003,,,0,0,50,,0,,0,0,0,0
KafueGorgeLower_HY_ZMB,Zambia,ReservoirHydro,Water,2023,2060,750,1,,,,,,0.345925003,,,0,0,50,0,0,,0,0,0,0
Kakono,Tanzania,ReservoirHydro,Water,2030,2060,87,3,,,0.25,0.25,,0.44,4090,0.5,,3.2,,87,,,,,,
KalungwishiI_HY_ZMB,Zambia,ReservoirHydro,Water,2030,2060,101,3,,,,,,0.278070484,,,0,4.248837209,50,101,0,,0,0,0,0
Kam'mwamba_C_MWI,Malawi,ST,Coal,2055,2060,0,3,,9.853126851,,,,,,,,2.84,,0,0,,0,0.05,0,0
Kanengo,Malawi,ICE,Diesel,2000,2060,15,1,,,,,,,,,0,0,,0,0,,0,0,0,0
Kapichira_HY_MWI,Malawi,ReservoirHydro,Water,2013,2060,65,1,,,,,,0.325,,,,0,,0,0,,0,0,0,0
Kapichira_parts_HY_MWI,Malawi,ReservoirHydro,Water,2013,2060,65,1,,,,,,0.325,,,,0,,0,0,,0,0,0,0
KaribaNB_HY_ZMB,Zambia,ReservoirHydro,Water,1976,2060,720,1,,,,,,0.252621343,,,0,0,50,,0,,0,0,0,0
KaribaNBE_HY_ZMB,Zambia,ReservoirHydro,Water,2015,2060,360,1,,,,,,0.252621343,,,0,0,50,,0,,0,0,0,0
KaribaSouth1_HY_ZWE,Zimbabwe,ReservoirHydro,Water,1962,2060,750,1,,,,,,0.275342466,,,0,0,50,,0,,0,0,0,0
KaribaSouthExtension_HY_ZWE,Zimbabwe,ReservoirHydro,Water,2017,2060,300,1,,,,,,0.275342466,,,0,0,50,0,0,,0,0,0,0
Karpower_TH_MOZ,Mozambique,ICE,HFO,2000,2050,47,1,,13.62126767,,,,,,,,0,,,0,,0,0,0,0
Kasitu_GT_MWI,Malawi,ST,Geothermal,2055,2060,6,3,,0,1,1,0,0.2,15000,2.538071066,0,9.95,30,5,0,,0,0,0,0
KelvinA_TH_ZAF,South_Africa,ST,Coal,1957,2012,180,1,,14.8,,,,,,,,0,,,0,,0,0.05,0,180
KelvinB_TH_ZAF,South_Africa,ST,Coal,1964,2026,420,1,,14.3,,,,,,,,0,,,0,,0,0.05,0,420
Kendal_TH_ZAF,South_Africa,ST,Coal,1985,2042,3840,1,,11.3,,,,,,,,0,,,0,,0,0.05,0,640
Khan_PV_NAM,Namibia,PV,Solar,2025,2060,25,2,,0,,,,,,,,,,20,0,,0,0,1,0
Kholombizo_HY_MWI,Malawi,ReservoirHydro,Water,2055,2060,213,3,,,,,,0.325077306,,,,3.445,,213,0,,0,0,0,0
Kibo_Mining,Tanzania,ST,Coal,2060,2060,300,3,,9.24,,,,,,,,,,,,,,,,
Kidatu,Tanzania,ReservoirHydro,Water,1975,2060,204,1,,,0.13,0.13,,0.34,1600,0.5,,,50,,,,,,,
Kidunda,Tanzania,ReservoirHydro,Water,2028,2060,20,3,,,0.25,0.25,,0.3,16910,0.003,,4,,20,,,,,,
Kiejo_Mbaka_I,Tanzania,ST,Geothermal,2030,2060,60,3,,,,,,,,,,,,60,,,,,,
Kiejo_Mbaka_II,Tanzania,ST,Geothermal,2030,2060,20,3,,,,,,,,,,,,20,,,,,,
Kihansi,Tanzania,ReservoirHydro,Water,2000,2060,180,1,,,0.17,0.17,,0.31,2300,0.003,,,,,,,,,,
Kikonge,Tanzania,ReservoirHydro,Water,2032,2060,300,3,,,0.13,0.13,,0.34,1640,0.5,,2.5,50,300,,,,,,
Kilubi_HY_DRCSouth,DRC_South,ReservoirHydro,Water,1954,2060,11,1,,,,,,0.27,,,0,0,50,,0,,0,0,0,0
Kinyerezi_I,Tanzania,OCGT,Gas,2015,2035,150,1,0.59,9.3,,,,,6300,,,,,,,,,,,
Kinyerezi_I_Ext,Tanzania,OCGT,Gas,2022,2047,185,1,0.31,9.3,,,,,6300,,,,,,,,,,,
Kinyerezi_II,Tanzania,CCGT,Gas,2018,2044,248,1,0.5,6.82,,,,,7800,4,,,,,,,,,,
Kinyerezi_IV,Tanzania,CCGT,Gas,2030,2060,330,3,0.3,,,,,,30000,,,,,330,,,,,,
Kinyezeri_III_PH_I,Tanzania,OCGT,Gas,2030,2060,300,3,0.4,9.75,,,,,8000,,,1.1,,300,,,,,,
Kinyezeri_III_PH_II,Tanzania,CCGT,Gas,2030,2060,300,3,0.3,6.82,,,,,30000,,,1.1,,300,,,,,,
Kisaki,Tanzania,ST,Geothermal,2036,2060,300,3,,,,,,,,,,,,300,,,,,,
Kishapu_I,Tanzania,PV,Solar,2025,2060,50,2,,,,,,,,,,0.9,,50,,,,,,
Kishapu_II,Tanzania,PV,Solar,2026,2060,50,2,,,,,,,,,,0.9,,50,,,,,,
Kishapu_III,Tanzania,PV,Solar,2027,2060,50,2,,,,,,,,,,0.9,,50,,,,,,
Kiwaba_Nzogi,Angola,OnshoreWind,Wind,2026,2056,104,3,,0,1,1,,,,,,,,104,0,,0,0,1,0
Kiwira_I,Tanzania,ST,Coal,2060,2060,200,3,,9.24,,,,,,,,,,,,,,,,
Kiwira_II,Tanzania,ST,Coal,2060,2060,200,3,,9.24,,,,,,,,,,,,,,,,
Kiwira_III,Tanzania,ST,Coal,2060,2060,600,3,,9.24,,,,,,,,,,,,,,,,
Koeberg_NU_ZAF,South_Africa,ST,Uranium,1985,2045,1860,1,0.7,10.53119469,0.1,0.1,0,0,100000,2.3,0,0,50,,0,,0,0.6,0,1800
Komati_BESS,South_Africa,Storage,Battery,2025,2045,120,2,,,,,,,,,,,,,,,,,,
KomatiI_TH_ZAF,South_Africa,ST,Coal,1966,2022,500,1,,11.31,,,,,,,,0,,,0,,0,0.05,0,500
KomatiII_TH_ZAF,South_Africa,ST,Coal,1966,2022,500,1,,11.31,,,,,,,,0,,,0,,0,0.05,0,500
Koni_HY_DRCSouth,DRC_South,ReservoirHydro,Water,1950,2060,42,1,,,,,,0.39,,,0,0,50,,0,,0,0,0,0
Kriel_TH_ZAF,South_Africa,ST,Coal,1979,2032,2640,1,,13.9,,,,,,,,0,,,0,,0,0.05,0,950
Kusile_I_TH_ZAF,South_Africa,ST,Coal,2020,2070,1440,1,,11.8,,,,,,,,0,,0,0,,0,0.05,0,800
Kusile_II_TH_ZAF,South_Africa,ST,Coal,2023,2073,1440,1,,11.8,,,,,,,,0,,0,0,,0,0.05,0,800
Kusile_III_TH_ZAF,South_Africa,ST,Coal,2024,2074,1440,2,,11.8,,,,,,,,4.073488372,,800,0,,0,0.05,0,800
Kuvaninga_TH_MOZ,Mozambique,OCGT,Gas,2017,2067,40,1,0.2,10.41544727,,,,,,,,0,,0,0,7,11.11544727,0.5,0,0
LesothoLetsengWind_REN_LSO,Lesotho,OnshoreWind,Wind,2025,2055,35,3,,0,1,1,,,,,,,,35,0,,0,0,1,0
LesothoSolar_REN_LSO,Lesotho,PV,Solar,2023,2060,28,1,,0,,,,,,,,0,,0,0,,0,0,1,0
Lethabo_TH_ZAF,South_Africa,ST,Coal,1990,2038,3558,1,,11.06,,,,,,,,0,,,0,,0,0.05,0,593
Li-ion_storage_A_MWI,Malawi,Storage,Battery,2025,2060,20,2,,,,,,,,,,0.28,,20,0,,0,0,0,0
Li-ion_storage_C_MWI,Malawi,Storage,Battery,2030,2060,0,3,,,,,,,,,,0.28,,0,0,,0,0,0,0
Lilongwe,Malawi,ICE,Diesel,2000,2060,5,1,,,,,,,,,0,0,,0,0,,0,0,0,0
Lithops_BESS_NAM,Namibia,Storage,Battery,2026,2055,45,2,,,,,,,,,,,,45,0,,0,0,0,0
LobitoI_TH_AGO,Angola,CCGT,Gas,2030,2082,750,3,,,,,,,,,0,1.245080501,,750,0,7,7.1,0.05,0,0
Lower_Fufu_HY_MWI,Malawi,ReservoirHydro,Water,2055,2060,261,3,,,,,,0.325077306,,,,3.445,,261,0,,0,0,0,0
Lower_Songwe_HY_MWI,Malawi,ReservoirHydro,Water,2055,2060,90,3,,,,,,0.325077306,,,,3.445,,90,0,,0,0,0,0
LowerMaguduza_HY_SWZ,Eswatini,ReservoirHydro,Water,2027,2060,13,3,,,,,,0.1835,,,0,4.248837209,50,14,0,,0,0,0,0
