gen,zone,tech,fuel,StYr,RetrYr,Capacity,Status,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,MaxTotalBuild,DescreteCap,fuel2,HeatRate2,MinUtilization,RETech,UnitSize,Tech Valid
RUZB 007,Burundi,ReservoirHydro,Water,2022.0,2055.0,15.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4,50000.0,0.5,5.0,3.3,50.0,0.0,0.0,0.0,,0.0,0.05,0.0,0.0,True
Ruzizi I,Burundi,ROR,Water,2022.0,2055.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4,40000.0,0.5,5.0,2.8,50.0,0.0,0.0,0.0,,0.0,0.06,0.0,0.0,True
Ruzizi II,Burundi,ROR,Water,2022.0,2055.0,12.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4,40000.0,0.5,5.0,2.8,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Rwegura,Burundi,ReservoirHydro,Water,2022.0,2055.0,18.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4,50000.0,0.5,5.0,3.3,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Maramvya,Burundi,PV,Solar,2027.0,2055.0,50.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,15000.0,0.0,0.0,0.8,25.0,50.0,50.0,0.0,,0.0,0.0,1.0,0.0,True
Dama015,Burundi,ROR,Water,2027.0,2055.0,5.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,40000.0,0.5,5.0,2.8,50.0,4.9,4.9,0.0,,0.0,0.05,0.0,0.0,True
Kabu16,Burundi,ROR,Water,2027.0,2055.0,20.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,40000.0,0.5,5.0,2.8,50.0,20.0,20.0,0.0,,0.0,0.05,0.0,0.0,True
Kabu23,Burundi,ROR,Water,2027.0,2055.0,16.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,40000.0,0.5,5.0,2.8,50.0,15.5,15.5,0.0,,0.0,0.05,0.0,0.0,True
Kirasa-karonge,Burundi,ROR,Water,2022.0,2055.0,16.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,40000.0,0.5,5.0,2.8,50.0,16.0,16.0,0.0,,0.0,0.0,0.0,0.0,True
Mpanda_BUR,Burundi,ROR,Water,2027.0,2055.0,10.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,40000.0,0.5,5.0,2.8,50.0,10.4,10.4,0.0,,0.0,0.05,0.0,0.0,True
Mule037 (Mulembwe),Burundi,ROR,Water,2027.0,2055.0,9.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,40000.0,0.5,5.0,2.8,50.0,9.0,9.0,0.0,,0.0,0.0,0.0,0.0,True
Mulembwe,Burundi,ROR,Water,2027.0,2055.0,17.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,40000.0,0.5,5.0,2.8,50.0,17.0,17.0,0.0,,0.0,0.0,0.0,0.0,True
Mushara,Burundi,ROR,Water,2027.0,2055.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,40000.0,0.5,5.0,2.8,50.0,2.5,2.5,0.0,,0.0,0.0,0.0,0.0,True
Sigu011,Burundi,ROR,Water,2027.0,2055.0,12.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,40000.0,0.5,5.0,2.8,50.0,12.1,12.1,0.0,,0.0,0.0,0.0,0.0,True
Waga (Kanka),Burundi,ROR,Water,2027.0,2055.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,40000.0,0.5,5.0,2.8,50.0,0.8,0.8,0.0,,0.0,0.0,0.0,0.0,True
Centrale tourbe (Kayanza),Burundi,ST,Peat,2027.0,2055.0,15.0,3.0,0.0,9.4,1.0,1.0,0.0,0.2,60000.0,2.0,5.0,2.0,30.0,15.0,15.0,0.0,,0.0,0.4,0.0,0.0,True
Jiji,Burundi,ROR,Water,2027.0,2055.0,33.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,40000.0,0.5,5.0,2.8,50.0,32.5,32.5,0.0,,0.0,0.05,0.0,0.0,True
Ruvyi102 (Ruvyironza),Burundi,ReservoirHydro,Water,2027.0,2055.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,50000.0,0.5,5.0,3.3,50.0,1.65,1.65,0.0,,0.0,0.0,0.0,0.0,True
Centrale thermique (Déchets Municipaux),Burundi,ST,Waste,2028.0,2055.0,15.0,3.0,0.0,12.5,1.0,1.0,0.0,0.2,100000.0,2.5,5.0,2.0,30.0,15.0,15.0,0.0,,0.0,0.05,0.0,0.0,True
Gikuka (KIKU002),Burundi,ReservoirHydro,Water,2030.0,2055.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,50000.0,0.5,5.0,3.3,50.0,2.53,2.53,0.0,,0.0,0.0,0.0,0.0,True
BoulaosM01,Djibouti,ICE,Diesel,2010.0,2040.0,2.0,1.0,0.06,10.28,1.0,1.0,0.0,0.2,8000.0,6.0,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
BoulaosM02,Djibouti,ICE,Diesel,2010.0,2040.0,2.0,1.0,0.06,10.28,1.0,1.0,0.0,0.2,8000.0,6.0,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
BoulaosM03,Djibouti,ICE,Diesel,2010.0,2040.0,2.0,1.0,0.06,10.28,1.0,1.0,0.0,0.2,8000.0,6.0,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
BoulaosM04,Djibouti,ICE,Diesel,2010.0,2040.0,2.0,1.0,0.06,10.28,1.0,1.0,0.0,0.2,8000.0,6.0,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
BoulaosM05,Djibouti,ICE,Diesel,2010.0,2040.0,2.0,1.0,0.06,10.28,1.0,1.0,0.0,0.2,8000.0,6.0,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.05,0.0,0.0,True
BoulaosM06,Djibouti,ICE,Diesel,2010.0,2040.0,2.0,1.0,0.06,10.28,1.0,1.0,0.0,0.2,8000.0,6.0,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.05,0.0,0.0,True
ICE_Aggregate_DJI,Djibouti,ICE,Diesel,2010.0,2040.0,8.4,1.0,0.06,10.28,1.0,1.0,0.0,0.2,8000.0,6.0,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Obock,Djibouti,ICE,Diesel,2010.0,2040.0,4.0,1.0,0.06,10.65,1.0,1.0,0.0,0.2,8000.0,6.0,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
South,Djibouti,ICE,Diesel,2010.0,2040.0,4.0,1.0,0.06,15.06,1.0,1.0,0.0,0.2,8000.0,6.0,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Tadjourah,Djibouti,ICE,Diesel,2010.0,2040.0,3.0,1.0,0.06,12.12,1.0,1.0,0.0,0.2,8000.0,6.0,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
HFO_Aggregate_DJI,Djibouti,ICE,HFO,1990.0,2020.0,6.0,1.0,0.06,9.0,1.0,1.0,0.0,0.2,8000.0,6.0,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
MaraboutG01,Djibouti,ICE,HFO,1990.0,2020.0,3.0,1.0,0.06,9.0,1.0,1.0,0.0,0.2,8000.0,6.0,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
MaraboutG12,Djibouti,ICE,HFO,2005.0,2035.0,6.0,1.0,0.06,9.0,1.0,1.0,0.0,0.2,8000.0,6.0,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
MaraboutG13,Djibouti,ICE,HFO,1995.0,2025.0,4.0,1.0,0.06,9.0,1.0,1.0,0.0,0.2,8000.0,6.0,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
MaraboutG14,Djibouti,ICE,HFO,1995.0,2025.0,4.0,1.0,0.06,9.0,1.0,1.0,0.0,0.2,8000.0,6.0,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
MaraboutG15,Djibouti,ICE,HFO,1995.0,2025.0,4.0,1.0,0.06,9.0,1.0,1.0,0.0,0.2,8000.0,6.0,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
MaraboutG16,Djibouti,ICE,HFO,1995.0,2025.0,4.0,1.0,0.06,9.0,1.0,1.0,0.0,0.2,8000.0,6.0,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
MaraboutG17,Djibouti,ICE,HFO,2005.0,2035.0,6.0,1.0,0.06,9.0,1.0,1.0,0.0,0.2,8000.0,6.0,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.25,0.0,0.0,True
MaraboutG18,Djibouti,ICE,HFO,2005.0,2035.0,6.0,1.0,0.06,9.0,1.0,1.0,0.0,0.2,8000.0,6.0,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
MaraboutG21,Djibouti,ICE,HFO,2010.0,2040.0,9.0,1.0,0.06,9.0,1.0,1.0,0.0,0.2,8000.0,6.0,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
MaraboutG22,Djibouti,ICE,HFO,2010.0,2040.0,13.0,1.0,0.06,9.0,1.0,1.0,0.0,0.2,8000.0,6.0,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
MaraboutG23,Djibouti,ICE,HFO,2010.0,2035.0,7.0,1.0,0.06,9.0,1.0,1.0,0.0,0.2,8000.0,6.0,5.0,0.0,25.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
MaraboutG24,Djibouti,ICE,HFO,1990.0,2020.0,4.0,1.0,0.06,9.0,1.0,1.0,0.0,0.2,8000.0,6.0,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
MaraboutG25,Djibouti,ICE,HFO,2010.0,2040.0,12.0,1.0,0.06,9.0,1.0,1.0,0.0,0.2,8000.0,6.0,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
MaraboutG31,Djibouti,ICE,HFO,2010.0,2040.0,4.0,1.0,0.06,9.0,1.0,1.0,0.0,0.2,8000.0,6.0,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
MaraboutG32,Djibouti,ICE,HFO,2010.0,2040.0,4.0,1.0,0.06,9.0,1.0,1.0,0.0,0.2,8000.0,6.0,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Wind_on,Djibouti,OnshoreWind,Wind,2022.0,2052.0,60.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,75.0,0.0,1.3,30.0,60.0,60.0,0.0,,0.0,0.0,1.0,0.0,True
Akuo,Djibouti,PV,Solar,2026.0,2056.0,50.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,65.0,0.0,0.8,30.0,30.0,30.0,0.0,,0.0,0.0,1.0,0.0,True
Battery_5MW_DJI,Djibouti,Storage,Battery,2026.0,2046.0,5.0,2.0,0.0,0.0,1.0,1.0,0.0,0.5,40000.0,0.0,5.0,0.3,20.0,5.0,5.0,0.0,,0.0,0.0,0.0,0.0,True
HFO_Project_01_DJI,Djibouti,ICE,HFO,2027.0,2057.0,20.0,2.0,0.0,10.42,1.0,1.0,0.0,0.2,33000.0,6.4,5.0,1.09,30.0,20.0,20.0,0.0,,0.0,0.0,0.0,0.0,True
HFO_Project_02_DJI,Djibouti,ICE,HFO,2028.0,2058.0,20.0,2.0,0.0,10.42,1.0,1.0,0.0,0.2,33000.0,6.4,5.0,1.09,30.0,20.0,20.0,0.0,,0.0,0.0,0.0,0.0,True
HFO_Project_03_DJI,Djibouti,ICE,HFO,2030.0,2060.0,20.0,2.0,0.0,10.42,1.0,1.0,0.0,0.2,33000.0,6.4,5.0,1.09,30.0,20.0,20.0,0.0,,0.0,0.0,0.0,0.0,True
HFO_Project_04_DJI,Djibouti,ICE,HFO,2032.0,2062.0,20.0,2.0,0.0,10.42,1.0,1.0,0.0,0.2,33000.0,6.4,5.0,1.09,30.0,20.0,20.0,0.0,,0.0,0.0,0.0,0.0,True
HFO_Project_05_DJI,Djibouti,ICE,HFO,2034.0,2064.0,20.0,2.0,0.0,10.42,1.0,1.0,0.0,0.2,33000.0,6.4,5.0,1.09,30.0,20.0,20.0,0.0,,0.0,0.0,0.0,0.0,True
CCGT,Djibouti,CCGT,Gas,2035.0,2065.0,200.0,3.0,0.3,6.6,1.0,1.0,0.0,0.07,23200.0,10.0,5.0,1.3,30.0,200.0,200.0,0.0,,0.0,0.0,0.0,0.0,True
PolyGCL1,Djibouti,CCGT,Gas,2030.0,2060.0,70.0,3.0,0.3,6.6,1.0,1.0,0.0,0.07,23200.0,10.0,5.0,1.3,30.0,70.0,70.0,0.0,,0.0,0.0,0.0,0.0,True
Geoth,Djibouti,Geothermal,Geothermal,2024.0,2054.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.05,0.0,85.0,5.0,3.0,30.0,15.0,15.0,0.0,,0.0,0.0,0.0,0.0,True
Centrale_bifuel1,Djibouti,OCGT,Gas,2031.0,2061.0,50.0,3.0,0.2,7.8,1.0,1.0,0.0,0.2,16000.0,26.0,5.0,0.8,30.0,50.0,50.0,0.0,,0.0,0.0,0.0,0.0,True
Centrale_bifuel2,Djibouti,OCGT,Gas,2033.0,2063.0,50.0,3.0,0.2,7.8,1.0,1.0,0.0,0.2,16000.0,26.0,5.0,0.8,30.0,50.0,50.0,0.0,,0.0,0.0,0.0,0.0,True
Centrale_bifuel3,Djibouti,OCGT,Gas,2035.0,2065.0,300.0,3.0,0.2,7.8,1.0,1.0,0.0,0.2,16000.0,26.0,5.0,0.8,30.0,300.0,300.0,0.0,,0.0,0.0,0.0,0.0,True
OCGT,Djibouti,OCGT,Gas,2035.0,2065.0,200.0,3.0,0.2,7.8,1.0,1.0,0.0,0.2,16000.0,26.0,5.0,0.8,30.0,200.0,200.0,0.0,,0.0,0.0,0.0,0.0,True
Solar_2,Djibouti,PV,Solar,2035.0,2065.0,200.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,25000.0,0.0,0.0,1.15,30.0,200.0,200.0,0.0,,0.0,0.25,1.0,0.0,True
Wind_2,Djibouti,OnshoreWind,Wind,2035.0,2065.0,500.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,48000.0,8.0,0.0,1.68,30.0,500.0,500.0,0.0,,0.0,0.0,1.0,0.0,True
Lubero,Drc_E,ROR,Water,2021.0,2121.0,13.0,3.0,0.0,3.41,0.0,0.0,0.0,0.4,14930.0,2.66,5.0,3.24,50.0,12.8,12.8,0.0,,0.0,0.0,0.0,0.0,True
LungudiII,Drc_E,ROR,Water,2021.0,2121.0,4.0,3.0,0.0,3.41,0.0,0.0,0.0,0.4,14930.0,2.66,5.0,6.0,50.0,4.0,4.0,0.0,,0.0,0.05,0.0,0.0,True
Matebe,Drc_E,ROR,Water,2016.0,2116.0,12.0,3.0,0.0,3.41,0.0,0.0,0.0,0.4,14930.0,2.66,5.0,2.73,50.0,12.0,12.0,0.0,,0.0,0.5,0.0,0.0,True
Ruzizi_III_DRC,Drc_E,ROR,Water,2031.0,2121.0,45.0,3.0,0.0,3.41,0.0,0.0,0.0,0.4,14930.0,133.0,5.0,3.02,50.0,45.0,45.0,0.0,,0.0,0.05,0.0,0.0,True
VIRUNGATalyiaNord1TalyiaNord2Ivugha,Drc_E,ROR,Water,2020.0,2120.0,53.0,3.0,0.0,3.41,0.0,0.0,0.0,0.4,14930.0,2.66,5.0,2.73,50.0,30.0,30.0,0.0,,0.0,0.0,0.0,0.0,True
Ruzizi_I_DRC,Drc_E,ROR,Water,1958.0,2058.0,10.0,1.0,0.0,3.41,0.0,0.0,0.0,0.4,33632.85,0.0,5.0,0.0,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Ruzizi_II_DRCMutwanga,Drc_E,ROR,Water,2016.0,2116.0,30.0,1.0,0.0,3.41,0.0,0.0,0.0,0.4,14930.0,2.66,5.0,0.0,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
GENC_CCGT,Egypt,CCGT,Gas,2027.0,2057.0,20000.0,3.0,0.6,6.4,0.5,0.5,0.0,0.1,30600.0,4.0,5.0,0.82,30.0,1000.0,20000.0,1.0,,0.0,0.0,0.0,0.0,True
GENC_CCS,Egypt,CCGT_CCS,Gas,2035.0,2065.0,10000.0,3.0,0.0,6.82,0.5,0.5,0.0,0.1,86700.0,9.0,5.0,2.86,30.0,1000.0,10000.0,1.0,,0.0,0.0,0.0,0.0,True
GENC_CSP,Egypt,CSPPlant,Solar,2027.0,2057.0,,3.0,0.0,0.0,1.0,1.0,0.0,0.95,153000.0,4.0,5.0,1.8,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Generic_GENC_GT,Egypt,OCGT,Gas,2027.0,2057.0,10000.0,3.0,0.0,9.0,1.0,1.0,0.0,0.2,25500.0,10.4,5.0,0.46,30.0,1000.0,10000.0,1.0,,0.0,0.0,0.0,0.0,True
Generic_GENC_RICE,Egypt,ICE,Gas,2027.0,2057.0,10000.0,3.0,0.0,7.3,1.0,1.0,0.0,0.95,10000.0,5.6,5.0,1.0,30.0,1000.0,10000.0,1.0,,0.0,0.05,0.0,0.0,True
Generic_GENC_2024_PV,Egypt,PV,Solar,2027.0,2052.0,62719.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14280.0,0.0,0.0,0.93,25.0,1000.0,62719.0,0.0,,0.0,0.6,1.0,0.0,True
NN-DIE_ST,Egypt,ST,Diesel,2027.0,2057.0,,3.0,0.0,9.7,0.61,0.81,0.0,0.2,11000.0,4.0,5.0,2.0,30.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,True
NN-HFO_ST,Egypt,ST,HFO,2027.0,2057.0,,3.0,0.0,9.7,0.61,0.81,0.0,0.2,11000.0,4.0,5.0,2.0,30.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,True
NN_HY,Egypt,ReservoirHydro,Water,2027.0,2077.0,,3.0,0.0,0.0,0.0,1.0,0.0,0.4,56100.0,5.0,5.0,2.19,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Generic_GENC_BAT,Egypt,Storage,Battery,2027.0,2047.0,10000.0,3.0,0.0,0.0,1.0,1.0,0.0,0.95,20430.82,0.0,5.0,0.3,20.0,1000.0,10000.0,0.0,,0.0,0.0,0.0,0.0,True
Generic_GENC_2024_WI,Egypt,OnshoreWind,Wind,2027.0,2057.0,56727.0,3.0,0.0,0.0,0.0,0.0,0.0,0.05,42840.0,0.0,0.0,1.37,30.0,1000.0,56727.0,0.0,,0.0,0.0,1.0,0.0,True
NN_OSW,Egypt,OffshoreWind,Wind,2030.0,2060.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,71400.0,0.0,0.0,4.67,30.0,10000.0,0.0,0.0,,0.0,0.0,1.0,0.0,True
ACWA-POWER_PV,Egypt,PV,Solar,2022.0,2047.0,200.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14280.0,0.0,0.0,0.93,25.0,200.0,200.0,0.0,,0.0,0.0,1.0,0.0,True
AMYA-POWER_PV,Egypt,PV,Solar,2022.0,2047.0,500.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14280.0,0.0,0.0,0.93,25.0,500.0,500.0,0.0,,0.0,0.0,1.0,0.0,True
El-Dabaa NPP-1_NU,Egypt,Nuclear,Uranium,2029.0,2079.0,1200.0,2.0,0.0,10.4,0.0,0.0,0.0,0.05,68000.0,2.3,5.0,5.5,50.0,1200.0,1200.0,0.0,,0.0,0.0,0.0,0.0,True
El-Dabaa NPP-2_NU,Egypt,Nuclear,Uranium,2030.0,2080.0,1200.0,2.0,0.0,10.4,0.0,0.0,0.0,0.05,68000.0,2.3,5.0,5.5,50.0,1200.0,1200.0,0.0,,0.0,0.0,0.0,0.0,True
El-Dabaa NPP-3_NU,Egypt,Nuclear,Uranium,2031.0,2081.0,1200.0,2.0,0.0,10.4,0.0,0.0,0.0,0.05,68000.0,2.3,5.0,5.5,50.0,1200.0,1200.0,0.0,,0.0,0.0,0.0,0.0,True
El-Dabaa NPP-4_NU,Egypt,Nuclear,Uranium,2032.0,2082.0,1200.0,2.0,0.0,10.4,0.0,0.0,0.0,0.05,68000.0,2.3,5.0,5.5,50.0,1200.0,1200.0,0.0,,0.0,0.0,0.0,0.0,True
ACWA-Power_WI,Egypt,OnshoreWind,Wind,2024.0,2054.0,1100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,42840.0,0.0,0.0,1.27,30.0,1100.0,1100.0,0.0,,0.0,0.0,1.0,0.0,True
AMYA-POWER_WI,Egypt,OnshoreWind,Wind,2022.0,2052.0,500.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,42840.0,0.0,0.0,1.4,30.0,500.0,500.0,0.0,,0.0,0.0,1.0,0.0,True
Engie-Orasco-Toyota_WI,Egypt,OnshoreWind,Wind,2023.0,2053.0,500.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,42840.0,0.0,0.0,1.4,30.0,500.0,500.0,0.0,,0.0,0.0,1.0,0.0,True
Masdar_WI,Egypt,OnshoreWind,Wind,2022.0,2052.0,200.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,42840.0,0.0,0.0,1.4,30.0,200.0,200.0,0.0,,0.0,0.0,1.0,0.0,True
Siemens-Gamesa_WI,Egypt,OnshoreWind,Wind,2023.0,2053.0,500.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,42840.0,0.0,0.0,1.4,30.0,500.0,500.0,0.0,,0.0,0.0,1.0,0.0,True
6Oct-Ext-1_CCGT,Egypt,CCGT,Gas,2015.0,2045.0,600.0,1.0,0.2,6.7,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
6Oct-Ext-2_CCGT,Egypt,CCGT,Gas,2019.0,2049.0,319.0,1.0,0.2,6.7,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Banha_CCGT,Egypt,CCGT,Gas,2014.0,2044.0,750.0,1.0,0.2,6.17,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.05,0.0,0.0,True
Beni-Suef-1_CCGT,Egypt,CCGT,Gas,2017.0,2047.0,1200.0,1.0,0.2,6.7,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.05,0.0,0.0,True
Beni-Suef-2_CCGT,Egypt,CCGT,Gas,2017.0,2047.0,1200.0,1.0,0.2,6.7,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.05,0.0,0.0,True
Beni-Suef-3_CCGT,Egypt,CCGT,Gas,2018.0,2048.0,1200.0,1.0,0.2,6.7,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.05,0.0,0.0,True
Beni-Suef-4_CCGT,Egypt,CCGT,Gas,2018.0,2048.0,1200.0,1.0,0.2,6.7,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.1,0.0,0.0,True
Burullus-1_CCGT,Egypt,CCGT,Gas,2017.0,2047.0,1200.0,1.0,0.2,6.7,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.06,0.0,0.0,True
Burullus-2_CCGT,Egypt,CCGT,Gas,2017.0,2047.0,1200.0,1.0,0.2,6.7,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.06,0.0,0.0,True
Burullus-3_CCGT,Egypt,CCGT,Gas,2018.0,2048.0,1200.0,1.0,0.2,6.7,0.5,0.5,0.0,0.1,30600.0,3.41,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.06,0.0,0.0,True
